index,t0,had_partner,n_partners,n_notified,n_attended,notified_any,attended_any,A_reinfected,reinf_source,reinf_src_cat,reinf_by_partner,reinf_by_unattended_partner,partner_cured
39,579,False,0,0,0,False,False,True,14330,f_other,False,False,False
60,550,True,1,0,0,False,False,True,11941,f_other,True,True,False
68,579,True,2,1,0,True,False,False,-1,none,False,False,False
96,559,True,1,1,1,True,True,True,874,f_other,True,False,True
101,546,False,0,0,0,False,False,False,-1,none,False,False,False
109,542,True,3,1,1,True,True,False,-1,none,False,False,True
120,544,True,1,0,0,False,False,True,20032,fsw,False,False,False
370,579,True,1,0,0,False,False,True,11670,f_other,True,True,False
409,555,True,1,0,0,False,False,False,-1,none,False,False,False
455,557,True,1,1,0,True,False,False,-1,none,False,False,False
502,564,True,2,0,0,False,False,True,11149,f_other,True,True,False
503,557,True,1,1,1,True,True,False,-1,none,False,False,True
513,557,True,1,0,0,False,False,True,15715,f_other,True,True,False
553,542,True,4,1,1,True,True,True,11175,f_other,True,True,False
589,540,True,1,0,0,False,False,False,-1,none,False,False,False
602,548,False,0,0,0,False,False,True,6710,m_other,False,False,False
661,540,True,1,0,0,False,False,True,6045,m_other,True,True,False
727,543,True,1,0,0,False,False,False,-1,none,False,False,False
760,554,False,0,0,0,False,False,False,-1,none,False,False,False
809,558,True,1,0,0,False,False,False,-1,none,False,False,False
835,551,False,0,0,0,False,False,False,-1,none,False,False,False
840,550,True,1,0,0,False,False,True,10924,f_other,True,True,False
874,572,True,1,1,0,True,False,False,-1,none,False,False,False
912,555,True,3,1,1,True,True,True,1495,f_other,True,False,False
957,551,True,1,0,0,False,False,False,-1,none,False,False,False
979,563,True,1,0,0,False,False,True,13069,f_other,True,True,False
1034,555,True,2,1,0,True,False,True,15316,f_other,True,True,False
1040,546,True,1,0,0,False,False,False,-1,none,False,False,False
1043,578,True,3,0,0,False,False,False,-1,none,False,False,False
1057,541,True,1,0,0,False,False,False,-1,none,False,False,False
