index,t0,had_partner,n_partners,n_notified,n_attended,notified_any,attended_any,A_reinfected,reinf_source,reinf_src_cat,reinf_by_partner,reinf_by_unattended_partner,partner_cured
7,540,True,2,0,0,False,False,True,8242,f_other,True,True,False
37,540,True,3,1,1,True,True,True,10731,f_other,True,False,False
101,565,False,0,0,0,False,False,False,-1,none,False,False,False
120,569,True,2,1,1,True,True,False,-1,none,False,False,True
175,555,True,2,0,0,False,False,True,2763,f_other,True,True,False
262,574,True,1,1,1,True,True,True,7871,m_other,True,False,True
264,571,True,1,0,0,False,False,True,13645,f_other,False,False,False
271,578,True,4,1,1,True,True,True,9298,f_other,True,False,False
317,560,True,1,0,0,False,False,False,-1,none,False,False,False
320,578,True,3,1,1,True,True,False,-1,none,False,False,True
364,573,True,1,0,0,False,False,False,-1,none,False,False,False
389,583,True,1,0,0,False,False,False,-1,none,False,False,False
409,542,True,5,3,3,True,True,True,11425,f_other,True,True,True
540,569,True,1,1,0,True,False,False,-1,none,False,False,False
567,581,True,1,1,1,True,True,False,-1,none,False,False,False
701,563,True,1,1,0,True,False,False,-1,none,False,False,False
759,541,True,2,2,1,True,True,True,5909,f_other,True,False,True
760,566,True,1,1,1,True,True,False,-1,none,False,False,True
769,549,True,1,1,1,True,True,False,-1,none,False,False,False
772,580,True,1,1,0,True,False,True,12677,f_other,True,True,False
775,548,True,1,1,1,True,True,False,-1,none,False,False,True
835,552,False,0,0,0,False,False,False,-1,none,False,False,False
851,544,True,2,0,0,False,False,False,-1,none,False,False,False
921,567,True,2,0,0,False,False,True,12860,f_other,True,True,False
982,573,True,1,1,1,True,True,False,-1,none,False,False,True
1006,572,True,1,1,1,True,True,False,-1,none,False,False,True
1040,541,True,2,1,1,True,True,False,-1,none,False,False,False
1043,555,True,1,0,0,False,False,True,11181,f_other,True,True,False
1060,585,True,1,0,0,False,False,False,-1,none,False,False,False
1064,545,True,1,0,0,False,False,False,-1,none,False,False,False
1093,570,True,1,0,0,False,False,True,3221,m_other,True,True,False
1187,587,True,2,2,2,True,True,False,-1,none,False,False,False
1239,571,True,1,1,1,True,True,False,-1,none,False,False,False
1255,547,False,0,0,0,False,False,False,-1,none,False,False,False
1280,562,True,1,1,1,True,True,False,-1,none,False,False,True
1284,583,True,1,0,0,False,False,False,-1,none,False,False,False
1308,540,False,0,0,0,False,False,False,-1,none,False,False,False
1359,544,True,2,1,1,True,True,True,10634,f_other,True,False,True
1383,551,True,1,0,0,False,False,True,12235,f_other,True,True,False
1397,574,True,2,0,0,False,False,False,-1,none,False,False,False
1482,579,True,1,0,0,False,False,True,12218,f_other,True,True,False
1563,556,True,1,1,1,True,True,False,-1,none,False,False,True
1579,561,True,1,0,0,False,False,True,7507,f_other,True,True,False
1586,557,True,2,1,1,True,True,False,-1,none,False,False,True
1641,586,True,2,0,0,False,False,False,-1,none,False,False,False
1661,541,True,2,2,2,True,True,False,-1,none,False,False,False
1692,540,True,1,1,1,True,True,False,-1,none,False,False,True
1749,553,True,1,1,1,True,True,False,-1,none,False,False,True
1786,554,True,1,0,0,False,False,True,13395,f_other,True,True,False
1792,561,True,1,0,0,False,False,False,-1,none,False,False,False
1804,556,True,1,0,0,False,False,True,8248,m_other,True,True,False
1824,556,True,1,1,1,True,True,False,-1,none,False,False,False
1888,543,True,1,0,0,False,False,True,409,m_other,True,True,False
2037,558,True,1,1,1,True,True,True,6204,m_other,True,False,True
2110,561,True,1,0,0,False,False,False,-1,none,False,False,False
2122,567,True,2,0,0,False,False,False,-1,none,False,False,False
2209,565,True,2,1,1,True,True,True,9160,f_other,True,True,False
2226,540,True,2,1,1,True,True,False,-1,none,False,False,False
2254,575,False,0,0,0,False,False,True,13246,f_other,False,False,False
2293,548,True,5,3,3,True,True,True,5518,f_other,True,False,True
2336,542,True,1,0,0,False,False,True,10831,f_other,True,True,False
2390,578,True,1,0,0,False,False,False,-1,none,False,False,False
2422,569,True,2,0,0,False,False,True,12113,f_other,False,False,False
2481,540,True,1,0,0,False,False,False,-1,none,False,False,False
2498,567,True,2,2,2,True,True,False,-1,none,False,False,True
2519,549,True,1,1,1,True,True,False,-1,none,False,False,False
2542,560,True,1,1,1,True,True,True,12867,f_other,True,False,True
2584,551,True,3,0,0,False,False,False,-1,none,False,False,False
2610,555,True,1,0,0,False,False,False,-1,none,False,False,False
2763,561,True,1,0,0,False,False,True,175,m_other,True,True,False
2791,578,True,1,1,1,True,True,False,-1,none,False,False,True
2792,542,True,1,1,0,True,False,True,5040,m_other,True,True,False
2799,546,True,1,0,0,False,False,True,2947,m_other,True,True,False
2828,544,True,1,0,0,False,False,True,14266,f_other,False,False,False
2877,551,False,0,0,0,False,False,False,-1,none,False,False,False
2878,561,True,1,1,1,True,True,True,5229,f_other,True,False,True
2920,581,True,1,1,1,True,True,False,-1,none,False,False,False
2936,541,True,1,0,0,False,False,False,-1,none,False,False,False
2947,545,True,2,1,1,True,True,True,12610,f_other,True,True,True
2959,552,True,1,1,1,True,True,False,-1,none,False,False,True
3111,566,True,3,2,2,True,True,True,11102,f_other,True,False,True
3112,547,True,1,0,0,False,False,True,12739,f_other,True,True,False
3152,550,True,1,1,1,True,True,False,-1,none,False,False,True
3221,569,True,2,1,1,True,True,True,1093,f_other,True,False,True
3236,541,True,1,1,1,True,True,True,6915,m_other,True,False,True
3254,541,True,1,1,1,True,True,False,-1,none,False,False,True
3290,550,False,0,0,0,False,False,True,4991,m_other,False,False,False
3356,560,True,2,1,1,True,True,True,14603,f_other,True,True,True
3365,542,True,1,0,0,False,False,True,10675,f_other,True,True,False
3417,540,True,1,1,1,True,True,True,3254,f_other,True,False,True
3432,547,True,1,0,0,False,False,True,13796,f_other,True,True,False
3436,544,True,2,2,2,True,True,False,-1,none,False,False,True
3471,540,True,3,2,1,True,True,True,10352,f_other,True,True,True
3526,562,True,1,0,0,False,False,False,-1,none,False,False,False
3536,579,True,1,1,1,True,True,True,7871,m_other,True,False,True
3541,570,True,1,1,1,True,True,False,-1,none,False,False,True
3578,580,True,1,1,1,True,True,False,-1,none,False,False,True
