cell,ct_prev_end,ct_new_inf,_unnecessary,syph_new_congenital
POC_bp_high,0.10350195828329403,21675615.0,5823345.0,38280.0
POC_bp_low,0.1150649495711069,24631005.0,6035190.0,42630.0
POC_bp_maximum,0.098214791675521,20641185.0,5701110.0,42195.0
POC_bp_moderate,0.11015430137114524,23223345.0,5932095.0,43065.0
POC_pn_baseline,0.12455624191609328,26869080.0,6196140.0,40890.0
POC_pn_high,0.0752072536034991,21212340.0,11438760.0,42630.0
POC_pn_low,0.11481373320805505,26133930.0,7127910.0,45675.0
POC_pn_maximum,0.048773762740148524,17367375.0,15375945.0,39150.0
POC_pn_moderate,0.09907582008267403,24068550.0,8872260.0,47850.0
SOC,0.12043241051995318,19346190.0,27912210.0,38280.0
