care,pn,bp,poc,disease,metric,year,value
baseline,baseline,high,True,ng,prevalence,2027,0.016083648420661494
baseline,baseline,high,True,ng,prevalence,2028,0.014445416414152113
baseline,baseline,high,True,ng,prevalence,2029,0.015309535877074398
baseline,baseline,high,True,ng,prevalence,2030,0.014852592149439403
baseline,baseline,high,True,ng,prevalence,2031,0.014052801421730316
baseline,baseline,high,True,ng,prevalence,2032,0.015365879712421749
baseline,baseline,high,True,ng,prevalence,2033,0.013857889779388396
baseline,baseline,high,True,ng,prevalence,2034,0.014961087627537978
baseline,baseline,high,True,ng,prevalence,2035,0.01713756038167919
baseline,baseline,high,True,ng,prevalence,2036,0.016840978632102026
baseline,baseline,high,True,ng,prevalence,2037,0.01754354851415179
baseline,baseline,high,True,ng,prevalence,2038,0.01735595351817406
baseline,baseline,high,True,ng,prevalence,2039,0.01787849198719518
baseline,baseline,high,True,ng,prevalence,2040,0.019329536835893914
baseline,baseline,low,True,ng,prevalence,2027,0.017051198679037326
baseline,baseline,low,True,ng,prevalence,2028,0.016847643837912134
baseline,baseline,low,True,ng,prevalence,2029,0.017249456739250137
baseline,baseline,low,True,ng,prevalence,2030,0.01780903969725927
baseline,baseline,low,True,ng,prevalence,2031,0.017200151323212714
baseline,baseline,low,True,ng,prevalence,2032,0.017852869284786733
baseline,baseline,low,True,ng,prevalence,2033,0.01674601727572707
baseline,baseline,low,True,ng,prevalence,2034,0.01889275835487684
baseline,baseline,low,True,ng,prevalence,2035,0.02089418420593737
baseline,baseline,low,True,ng,prevalence,2036,0.020041875146576228
baseline,baseline,low,True,ng,prevalence,2037,0.020495882081337978
baseline,baseline,low,True,ng,prevalence,2038,0.020615201274277052
baseline,baseline,low,True,ng,prevalence,2039,0.020797708771412286
baseline,baseline,low,True,ng,prevalence,2040,0.023445849227751395
baseline,baseline,moderate,True,ng,prevalence,2027,0.016464832413282563
baseline,baseline,moderate,True,ng,prevalence,2028,0.015327056541725245
baseline,baseline,moderate,True,ng,prevalence,2029,0.015665362481405008
baseline,baseline,moderate,True,ng,prevalence,2030,0.016061336728491984
baseline,baseline,moderate,True,ng,prevalence,2031,0.015433345193859005
baseline,baseline,moderate,True,ng,prevalence,2032,0.016544520094360644
baseline,baseline,moderate,True,ng,prevalence,2033,0.015025014255043285
baseline,baseline,moderate,True,ng,prevalence,2034,0.016086545933879506
baseline,baseline,moderate,True,ng,prevalence,2035,0.018714659905418256
baseline,baseline,moderate,True,ng,prevalence,2036,0.01856958225004298
baseline,baseline,moderate,True,ng,prevalence,2037,0.019258292643896537
baseline,baseline,moderate,True,ng,prevalence,2038,0.01959753801857509
baseline,baseline,moderate,True,ng,prevalence,2039,0.019568490225387637
baseline,baseline,moderate,True,ng,prevalence,2040,0.021312830109999546
baseline,baseline,none,False,ng,prevalence,2027,0.014553505699841776
baseline,baseline,none,False,ng,prevalence,2028,0.01381056412817587
baseline,baseline,none,False,ng,prevalence,2029,0.012664978514527725
baseline,baseline,none,False,ng,prevalence,2030,0.012657785271067206
baseline,baseline,none,False,ng,prevalence,2031,0.012647829379957306
baseline,baseline,none,False,ng,prevalence,2032,0.013597388061756805
baseline,baseline,none,False,ng,prevalence,2033,0.013335974296405827
baseline,baseline,none,False,ng,prevalence,2034,0.014266862022962342
baseline,baseline,none,False,ng,prevalence,2035,0.015338730388379334
baseline,baseline,none,False,ng,prevalence,2036,0.014102373479023059
