draw_idx,hiv.beta_m2f,hiv.rel_init_prev,log_syph.beta_m2f,log_syph.rel_trans_primary,syph.time_to_undetectable,syph.p_symp_primary_f,syph.p_symp_primary_m,log_syph.rel_init_prev,syph_symp_test.rel_test,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m2_conc,structuredsexual.dur_sw,log_hiv_syph.rel_sus_syph_hiv,log_hiv_syph.rel_trans_syph_hiv
20,0.0256441339929037,0.5787838412081006,-1.7883407271990268,1.0074077747462633,13.19423802335705,0.4146932318973225,0.5449239622846975,-0.5180280812822429,0.8453821912126018,-2.778681074132474,-2.364912960179791,-3.5402889565761946,0.8172127891309366,5.761546154940344,14.403583655588363,0.5406547999143135,0.461667387742357
26,0.0281307695921799,1.401950348861915,-1.8695645474979876,2.0856819904299524,18.94500100952841,0.4553564444995472,0.8572325857420375,-0.1640293166124871,0.8873897945511693,-1.9089174440229144,-2.5697808949755574,-2.4876988888666567,0.5978638811879674,4.500123289199026,4.329431706253718,0.2259839135478105,0.5181202811031691
30,0.0171569423746375,0.3362402828176398,-1.9042227921080384,1.7491746030699298,18.325244222782334,0.4029846279888354,0.8744344300772502,-1.4078135988190073,0.818559600202442,-2.344379942667202,-1.8924807434411053,-3.847182255362947,0.8406284451961585,7.995014325127318,11.937862385925271,0.1555809820948039,0.5518827961978091
33,0.018975868865963,0.831255426666617,-1.6413999291334818,1.4064673951638378,26.93754915194812,0.542036808560012,0.9278986519813448,-1.8400728087653544,0.9498151062368688,-1.2081478142685875,-1.6330250475620018,-2.606071224578602,0.7368113678355821,3.716838538188774,14.76297439564367,0.3181994421400552,0.1299232910881342
34,0.0243474262837629,0.6838474949792838,-2.162575313615492,1.4841044948143556,16.699726758867996,0.5024583475773782,0.6430906564282817,-0.0199874377575359,0.7986854825890898,-2.655589145515314,-0.990107897680887,-1.3155257546185006,0.8720254785615376,5.208757912889509,12.378063779729358,0.390082717600537,0.0899923352552493
65,0.0269231066955797,0.4520440766130786,-2.238532450258776,1.5574882471464233,26.59061543540303,0.2466268001308701,0.747037033127661,-1.0303605179440465,0.4506493913705232,-1.5357137217425452,-2.8216398690714324,-3.73581863006346,0.6143202527895139,6.022217103290389,5.82544773108496,1.0680754600367175,0.5212399187340844
73,0.0231502201889957,1.4232844710977492,-2.1076623833137726,1.2347577375934515,10.83981321046681,0.2750402866196054,0.661041307388087,-3.049743079711532,1.1008218105123586,-3.1376282060176264,-2.690833911087326,-0.952799271024,0.7062076001195884,4.447768437131032,4.526248685782645,0.971021493516287,0.6218885070727893
122,0.0280809752938192,0.3302219822998669,-1.3701572785827325,1.0611487254628311,12.98661515043752,0.4378240794206788,0.7928795731661327,-1.2964460770784705,0.9910955301995727,-3.0716389510263404,-0.9282417188983652,-2.8702820609437465,0.8374293884591165,3.2363124929716878,11.048474908707968,0.5261191375023927,0.1238620686531164
143,0.0298729118732493,1.338148324861535,-1.9986508205825797,1.809016648746284,11.716127555130289,0.3266491602840862,0.6183667863265809,-1.154576650933211,1.4281265456767502,-3.2164671985870745,-1.6452685713338977,-2.9624784205415424,0.6952982382837753,3.491957244336378,4.970603945440303,0.922656042165985,0.2528119033948652
148,0.0183749949944827,0.901650523236382,-2.0704786507972206,1.388446932530485,28.140866854960617,0.1865510574779211,0.6600284554113602,-1.6562620380856368,1.4513748272380715,-2.155914189357902,-1.5679200155874091,-3.533675193363413,0.5789321012222435,3.406718366726569,3.693408707005463,0.8547600631288823,0.4356218700806568
154,0.0141570416082449,1.2645791469051595,-1.9545117752374397,0.9856817407636924,13.503032165048303,0.4469269989370416,0.8711770895981856,-1.1003596827157849,1.0509471612243453,-1.830833183989077,-1.9280716899490205,-0.9813243211163892,0.7348406840665841,5.661925077123714,9.796963972830792,0.4265690706503234,0.5119193361943019
160,0.0195361914427583,0.3803484061449583,-1.989333387860186,1.43042330588012,19.85926847472855,0.4548834835207545,0.5904478480863652,-2.779993530550814,0.5180575162961815,-1.9891348827486468,-0.9248163568446736,-2.5273972599496526,0.8894716788505947,7.908452336696966,2.7840398737542555,0.4339721538867819,0.253678688029377
200,0.0175895845988075,1.0124491109242726,-2.13661437905743,1.4614229265560503,10.499323112063133,0.1497742474724123,0.6813637264628543,-0.5502483116414298,0.5028773506698437,-3.1459501338540448,-2.513925193879002,-3.074410228976813,0.570482782188371,6.40467611343214,10.949489650293408,0.7156642382892189,0.3432367376581163
218,0.0291697002470889,1.265311860652452,-2.0308905352160305,1.6685652375836555,16.262804545122655,0.2313283574315641,0.606808772520893,-2.3498321260094777,0.4194954083523481,-1.312432293048504,-1.8005359977106772,-3.860138701666055,0.7476666113709355,2.4292819870884164,2.945630913831332,0.4756114263757702,0.7923528008073105
227,0.0207435549231803,0.8205956545543502,-1.889273305578464,2.2047355868646656,26.142358094596048,0.2510857987619328,0.5195441546388989,-1.8871398248914544,0.6025972672471122,-2.7646494218770634,-2.1080411935828507,-2.168746800130358,0.8145550512407593,7.756512890752713,3.3796984730423683,0.5711153581894307,0.6057336821735555
240,0.0288030076872754,1.0829120211538883,-2.007657325031836,1.3016583222901486,22.49653318415973,0.2350098426731601,0.6884379593205223,-1.1201157463430542,1.1400104141583745,-3.665805305735015,-2.5938802790919557,-2.6457846138429004,0.7820077391940728,2.1502121416346776,8.426605475251968,1.0781257235100938,0.0942036692108331
242,0.0228266247073317,0.4203037371941671,-1.5596474410042829,1.392509553315255,23.651153949141623,0.3963115604855087,0.6987836945862437,-1.5762688778324363,1.4895393696216137,-2.5842735877189904,-2.1673772482904794,-3.576876430001543,0.6706742958912452,3.869359424056927,12.668513679955591,0.7429734442466347,0.6179077833316425
245,0.0268004834342532,1.2718478123453174,-1.7928260838698789,2.2826135616185046,12.975077390943367,0.3376770008236771,0.892165713829177,-2.414166204941992,0.4713606326071853,-1.3786080033666304,-1.3790973284377357,-2.785704260596136,0.6762809308457511,5.431735321748707,6.979741563913367,0.643946580213767,0.1468149448316656
307,0.0130045660000398,1.126044131418646,-2.2876185818959747,1.1608406939114295,13.045195660233452,0.1744673626215896,0.8279493561712423,-0.0453915065131877,1.0310715481816035,-1.7597589329961116,-0.9912639157663076,-2.758903681244055,0.7399681080188664,3.899381574601197,7.822158532523897,0.5838741280183187,0.0463535305258408
317,0.0179544645474794,0.3824012961123831,-1.9170940867760629,1.417790700987714,23.17287140513585,0.4038559022945837,0.741462964277332,-2.3155260494433527,0.6425691137325731,-3.509772282191453,-0.8585755971956615,-3.1397480497880226,0.7386426149424475,6.794508057794333,12.221182080372238,0.8684723442982454,0.725698070588895
331,0.0290952574065146,0.4602412394613793,-2.057942441529863,1.8383711255426285,28.545903322219377,0.1681538529918989,0.5127457827468406,-0.719482194217349,0.506047945606193,-1.51043743106819,-0.9555645308711248,-1.9992146875829349,0.5535865113927498,2.876500932766759,11.683693285068829,0.6876669990657982,0.1093991567956117
342,0.019689100403848,0.3299757322142121,-1.5124158202337568,2.185912428273518,26.409098634850324,0.5517682544937498,0.9147927898008694,-0.2289946328621184,1.0240869573747615,-3.645741824062711,-2.238930830463712,-1.9290783114328929,0.7639866478754778,2.0686022814189378,2.3306464784759173,0.2109974286635339,0.4310233208067126
416,0.0208491524927822,0.470939902430619,-2.076471386181005,1.1918952853391778,10.760855116569038,0.264197905417547,0.9203316276195028,-0.6299132212417797,1.4195390339899276,-3.435231077588869,-1.011089265776977,-1.1301012699925708,0.6154119453041652,2.041706540400556,9.03528696057894,0.6427548611215491,0.7617525798425376
440,0.0213757305642675,1.2854350417579428,-1.7707917503985038,1.920880212415694,27.44527340982038,0.5380830691087816,0.8007715814217401,-2.0366266084662863,0.4772647702307579,-2.826470684326852,-2.9404304381368664,-0.7052722737009121,0.653255984976749,4.292204971183381,5.6038310014428,0.1217611515850314,0.832928405462122
455,0.0172592411780285,0.8441825031631169,-1.854814843246265,1.0965828009095924,22.119911757750224,0.5097079114434784,0.6004001184047074,-1.238561434773696,0.6549687677955636,-2.86900661221934,-2.7732410525266964,-1.2557814918087624,0.8493372901713525,2.063016534778771,9.968635943426378,1.0238570560183198,0.4578043984397117
489,0.016475741814615,0.6468938555345123,-2.03869436716568,1.5357266039632256,12.729221381120896,0.1576457419036323,0.8366559644352528,-2.131067787508698,0.3289525088273975,-1.632973033203324,-2.2287666059579743,-1.8151853497362724,0.7590246510507859,5.469451623776839,4.404969392516449,0.76173328577525,0.7442607701331087
541,0.0251827519522982,0.9295290509794096,-1.9103460301087625,1.7433835542932337,17.846270814873776,0.5595614277953421,0.8223135345348083,-0.3134957107176053,0.6096421534694136,-1.650903574322697,-1.5645267020463642,-1.7547479150975884,0.7925955672395789,4.336924711933415,2.961769709185099,0.635339525445532,0.6530969485604284
563,0.0241563405308365,0.9326402766631892,-2.014847975640812,1.4562516824886411,25.76086063262677,0.288780808910152,0.7325300247541606,-2.108097272871837,0.6698614396162764,-3.7520947767169712,-2.832861246913633,-3.776475346987517,0.6703467966480557,2.3707430363788182,7.152932631579206,0.6394495675705855,0.7477404994825227
569,0.0214663057448428,0.659236206358534,-2.222484978349946,1.3670437330156515,24.022117865448127,0.5432505725680696,0.7890850014999431,-0.9107934377809608,0.3010616175904469,-1.2475883424360776,-1.4340294384490646,-1.5363510705473051,0.736127754532713,4.1827693545136455,11.447659895017823,0.9102852922980286,0.5866563774093964
583,0.0183780769090449,0.4060032571695074,-1.914146926830257,1.2787283452094098,21.776972715881787,0.3555998084260855,0.5399316050286525,-0.0071289238725151,1.3739771187619827,-2.952446188273678,-1.0480879173476711,-0.845756876189077,0.7334661462013741,4.360453481687494,7.1259523766231805,0.0011256896356247,0.8084077073772609
591,0.0076640167152251,1.2578332159587275,-1.88239098115129,1.112115296715486,12.06350939752754,0.4582794315453061,0.8674946002203466,-0.5956900018070543,1.2563551332086191,-2.419127404568022,-1.7800442640676473,-1.4641837929134565,0.857713845845526,6.147876017565373,10.104994885644643,0.1918093553402045,0.788445802312853
599,0.0223065445717962,0.3109052837685975,-1.8992931014039625,1.0835849523775791,18.02922913922104,0.5544381278204898,0.8616966171129654,-0.8525708823418348,0.9712682243042065,-2.5521857638357908,-1.9553375780175997,-0.8155886566201778,0.7664208333292113,4.924931468398704,4.695660797252928,0.6070478071349253,0.0520190667727058
616,0.0209387005875237,0.6040711178774464,-1.8798012703431115,1.9090746234061975,26.34229762063372,0.3777749311630295,0.8169501996464366,-1.9070654887443836,0.4552634610823614,-2.72730503156368,-1.4317912839575548,-2.334257388973003,0.8250153666708292,7.821920635474694,4.26696784163559,0.4194291180241669,0.0602787814960327
