draw_idx,hiv.beta_m2f,hiv.rel_init_prev,log_syph.beta_m2f,log_syph.rel_trans_primary,syph.time_to_undetectable,syph.p_symp_primary_f,syph.p_symp_primary_m,log_syph.rel_init_prev,syph_symp_test.rel_test,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m2_conc,structuredsexual.dur_sw,log_hiv_syph.rel_sus_syph_hiv,log_hiv_syph.rel_trans_syph_hiv,structuredsexual.stable_act_decay,structuredsexual.client_marital_act_mult
0,0.027151179946541367,1.2809536639240728,-1.3945026734831774,1.0619270885915066,14.260659715917107,0.5264787633032653,0.5480084233024862,-0.001517027257283754,0.9332931338927382,-1.2523771810842503,-1.8799922067273012,-2.392536623950793,0.6394608916046645,7.693834483132388,6.317752665316092,0.8762680461372057,0.448952005725557,0.10945054467546202,0.9204134668686574
1,0.029770923891374642,1.4812489889234484,-1.9041080815970048,1.45522563745076,29.988188974332907,0.45684042661815516,0.6697672804437833,-3.1482027446182954,0.9145914328002571,-1.9230353358504342,-2.2367240421778205,-2.1598167735125466,0.8056924996790369,3.6181341438902423,2.7670546070611346,0.9308007619962417,0.06243578912372792,0.07156612140439117,0.8074092053672479
2,0.029222837268471778,1.3736728792700765,-1.6489235605883068,1.236266226227132,20.665363398291532,0.2834670150370111,0.9246984676720278,-1.0229094144693383,1.2788934530515077,-2.3392543198070075,-1.3200076275064974,-3.825713250718419,0.7164990938447833,3.943525533013781,8.759351054178719,0.21890338558889544,0.5900300947846715,0.1759090080644182,0.5895844502038968
3,0.011081677658721296,0.38507914522620834,-1.9113481498726754,0.5561384654230888,25.733128005754235,0.5080473441696449,0.920715994309506,-0.9505616935563777,1.3455827741860438,-2.0020019099793895,-1.733200065026485,-1.425916904872913,0.6650197632097726,4.393196352906478,4.986799026896693,0.8613499902588971,0.7744405813571636,0.15806881515717658,0.5501794482257878
4,0.02820721154341261,1.1347944191560444,-1.4653192251703957,0.7650076299398485,17.789125451853963,0.3113454065213851,0.7253480115615634,-1.478555918023027,0.9825621364806782,-2.83357806267462,-0.9436968433862996,-2.588433830557391,0.8777167020783242,2.718193635701953,4.448650710412503,0.8096663176675629,0.42565147505743867,0.16005985206348658,0.39053303649872023
5,0.009287320305688997,1.3154867841124291,-1.6576910086880043,0.46445655904229677,17.656465508566974,0.33431473121748734,0.9016976018599505,-3.0191346770439047,1.0156828615034448,-1.3326649976241018,-1.676778613170497,-3.6022885303065584,0.7447047083382086,4.6750549099378516,3.999222285234546,0.767059556104789,0.1836066568528018,0.17977282346950124,0.7255943037275319
6,0.023964016376985846,1.4093657276848743,-1.9143080643612707,1.594025203603402,22.304606490842616,0.21838206890017503,0.5372447294903095,-3.671783798727428,0.4690652116817614,-2.8959436445845332,-2.266397192330526,-1.2687708428746323,0.6713933135453113,7.240433866666727,2.0668524823910706,0.12405793084155012,0.295616838113985,0.18104201217866878,0.7890298470340991
7,0.0209903298948146,1.3305563331629975,-1.8141692067627773,1.5526142835572236,21.568624930470627,0.5964764950519325,0.5459961258171141,-3.6111078319064465,0.8884942028083607,-2.6327634622529903,-1.1529306562838137,-1.8474594568899474,0.7749315997011321,3.8742922320133926,4.2358934763152245,1.0960096011007663,0.36785496323400285,0.0692333709109647,0.4670485096873033
8,0.011409550627308918,0.7253816645112582,-1.10416697322291,1.1532616425935995,21.09331270953046,0.12755124261818168,0.6251476908219062,-1.7801770985472904,1.1414729569536062,-3.1715385391858097,-1.992055305052779,-2.7088040711865626,0.7652508835294209,7.39593913987555,13.311997492743364,0.14724249450492283,0.19278152164781304,0.1636339099268419,0.7011947149960757
9,0.027992545708429933,0.5897326090450405,-1.921312534376599,2.032987520103647,27.787092647023126,0.25520704421822415,0.7370703033577249,-3.547353547567873,1.4006355044401957,-1.6879240276845602,-2.431045797161668,-3.665521248980156,0.7172144658773092,7.657164482563818,10.739547626923857,1.0938761058089934,0.5526784775731662,0.17094279473840046,0.5503700129477307
