draw_idx,fsw_prev_2019,nontrep_f_2016,trep_f_2016,primary_share,secondary_share,early_lat_share,late_lat_share,client_prev_2016,overall_prev_f_2035_2040_mean,new_inf_2030_2040_mean,sustained_hiv,sustained_syph,sustained_ng,sustained_ct,sustained_tv,pf_2035_2040_hiv,pf_2035_2040_syph,pf_2035_2040_ng,pf_2035_2040_ct,pf_2035_2040_tv,ni_2030_2040_hiv,ni_2030_2040_syph,ni_2030_2040_ng,ni_2030_2040_ct,ni_2030_2040_tv,hiv_pos_trep_2016,hiv_neg_trep_2016,hiv_pos_nontrep_2016,hiv_neg_nontrep_2016,hiv_trep_ratio_2016,hiv_prev_2010_2020,n_pass,n_seeds_ok,pass_fsw_band,pass_nontrep_band,pass_trep_band,pass_primary_band,pass_secondary_band,pass_hiv_pos_trep_band,pass_hiv_trep_ratio_band,pass_early_lat_band,pass_sustained,n_pass_mean
1,0.4975721952466139,0.09102522140300102,0.20702877552687907,0.3425919998600022,0.22043190165832463,0.10364276514833981,0.0,0.41957447524785807,0.09725425890048607,21735.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.1450510489943916,0.09725425890048607,0.0297026630432425,0.006464543613908003,0.14134773542511417,5314.25,21735.5,103438.16666666667,5993.333333333333,215457.91666666666,0.31479692626626016,0.08427132076979477,0.11192682892520422,0.034542673451666235,2.500277068139211,0.1478923422526042,3.3333333333333335,3,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.3333333333333335
12,0.0,0.0,0.00015678896205707118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.024777779423768864,0.0,0.0660799188889334,0.21653090333712707,0.3178349435365861,391.5,0.0,228611.83333333334,205117.0,694233.4166666666,0.0002664535038635758,0.00010734611828638299,0.0,0.0,0.0,0.0702652633785127,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
13,0.40098566308243727,0.05408504731184238,0.1257199968081771,0.36307797657780716,0.204304262638322,0.09928442745053752,0.0,0.317269128657029,0.05179858401931614,11237.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.14286675858789943,0.05179858401931614,0.01108996275482875,0.07750273390575042,0.09635055832616507,5657.416666666667,11237.5,42864.416666666664,63149.916666666664,145763.66666666666,0.23073419460516234,0.041321990064614844,0.099244581825227,0.01901129908477236,5.657124852753069,0.14348751167208829,3.0,3,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,3.0
14,0.7604931386747905,0.24587852574408983,0.35901489007982484,0.4964365301992608,0.32728892639141116,0.17627454340932802,0.0,0.5446229162407025,0.22372305781156435,29623.5,1.0,1.0,1.0,1.0,1.0,0.10730663599596905,0.22372305781156435,0.029791559590682054,0.27296766648689036,0.002884397210082435,3530.75,29623.5,106123.08333333333,230414.66666666666,4710.083333333333,0.5336846982169159,0.16698261194166483,0.30121224208959646,0.09363702322493862,3.197330845017746,0.12226611408095751,4.0,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0
15,0.7405164420577388,0.2396222668759649,0.36753636516398486,0.46091986326941853,0.35990060960068543,0.17917952712989607,0.0,0.6603257853257853,0.20606779130600805,34771.0,1.0,1.0,1.0,1.0,1.0,0.1669338215581009,0.20606779130600805,0.11248897435442422,0.1628426613989575,0.050367262620746034,6989.0,34771.0,366412.5833333333,138056.91666666666,84199.08333333333,0.5090850025125383,0.16730647805516832,0.3055426383697075,0.094341689362665,3.044463105175691,0.15300058591831842,3.6666666666666665,3,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,1.0,3.6666666666666665
16,0.7162676264322649,0.1300193181683573,0.27974976539168733,0.508446023283013,0.32553615268148656,0.16601782403550044,0.0,0.6032931134367092,0.15067239637282426,20263.75,1.0,1.0,1.0,1.0,1.0,0.05766507035409502,0.15067239637282426,0.12336414374401121,0.01464911043751834,0.30363222820941604,1377.5,20263.75,424683.25,14147.166666666666,593591.3333333334,0.4641741168500955,0.13922638160616396,0.1701572650911023,0.06692924417633452,3.337221258097211,0.1043397806223058,4.0,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0
20,0.6482382426654872,0.19623999440235448,0.3213721565432399,0.47822623497976985,0.354569544394701,0.16720422062552917,0.0,0.8166517732414779,0.14879104001868257,25802.75,1.0,1.0,1.0,1.0,1.0,0.035891715984451594,0.14879104001868257,0.004928743176044389,0.08462849643962132,0.056140051746110475,526.8333333333334,25802.75,20962.166666666668,70938.83333333333,89017.91666666667,0.48156089807036045,0.19259141080638184,0.26791777872023353,0.11812173741822585,2.50665910897836,0.08692742070074955,3.0,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0
46,0.0,0.000741399762752076,0.016749755602104448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.004381226931421415,0.0,0.08753219175586369,0.17372785363942844,0.3341192567595921,65.25,0.0,320116.5,173130.0,767233.6666666666,0.04641350210970464,0.00785704892563569,0.0012055455093429777,0.0005390664637239979,2.0244760754241296,0.017925257742948935,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
47,0.7687144564054211,0.24229955006614137,0.3566478842164916,0.4971421948274483,0.33635447528491785,0.16650332988763392,0.0,0.39304518842261094,0.2219651240293589,33956.583333333336,1.0,1.0,1.0,1.0,1.0,0.15221469330174833,0.2219651240293589,0.059625977364274226,0.005321052352848264,0.10701093869481425,5623.583333333333,33956.583333333336,194164.66666666666,4091.4166666666665,156094.91666666666,0.5222154918528422,0.1358138225301632,0.27375064835418034,0.0628345052218,3.8776350287463877,0.1493689269611483,4.0,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0
50,0.6204351204351204,0.16441906354994648,0.2757934617533508,0.6064074703488265,0.25277474253463694,0.1408177871165366,0.0,0.67062854401202,0.14037994162512013,23560.083333333332,1.0,1.0,1.0,1.0,1.0,0.1259345801612549,0.14037994162512013,0.07601174444314364,0.15553918837467556,0.08521460632043075,4246.083333333333,23560.083333333332,247444.91666666666,130500.0,137423.75,0.44836247973176907,0.11993141757389258,0.2518902107878083,0.06588432268231634,3.7440494720623607,0.13225825602227861,4.666666666666667,3,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,1.0,4.666666666666667
