draw_idx,fsw_prev_2019,nontrep_f_2016,trep_f_2016,primary_share,secondary_share,early_lat_share,late_lat_share,client_prev_2016,overall_prev_f_2035_2040_mean,new_inf_2030_2040_mean,sustained_hiv,sustained_syph,sustained_ng,sustained_ct,sustained_tv,pf_2035_2040_hiv,pf_2035_2040_syph,pf_2035_2040_ng,pf_2035_2040_ct,pf_2035_2040_tv,ni_2030_2040_hiv,ni_2030_2040_syph,ni_2030_2040_ng,ni_2030_2040_ct,ni_2030_2040_tv,hiv_pos_trep_2016,hiv_neg_trep_2016,hiv_pos_nontrep_2016,hiv_neg_nontrep_2016,hiv_trep_ratio_2016,hiv_prev_2010_2020,n_pass,n_seeds_ok,pass_fsw_band,pass_nontrep_band,pass_trep_band,pass_primary_band,pass_secondary_band,pass_hiv_pos_trep_band,pass_hiv_trep_ratio_band,pass_early_lat_band,pass_sustained,n_pass_mean
2,0.689975000467547,0.17673627785839197,0.31416887267691657,0.45701780233721595,0.36282875289114297,0.1801534447716411,0.0,0.5929582955019979,0.18929717908474633,30889.833333333332,1.0,1.0,1.0,1.0,1.0,0.11054935348365064,0.18929717908474633,0.008769640898511427,0.11863212340979201,0.18139208030391785,3724.0833333333335,30889.833333333332,40641.083333333336,96780.25,288334.9166666667,0.5158479856752051,0.13292582628143979,0.2593834487187113,0.07318942371900458,3.89323961666504,0.1302118744796719,3.6666666666666665,3,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,1.0,0.0,1.0,3.6666666666666665
12,0.0,0.0,0.00015678896205707118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.024777779423768864,0.0,0.09065848640242852,0.20106263080350117,0.31298229917780646,391.5,0.0,416309.5,197801.75,696505.0833333334,0.0002664535038635758,0.00010734611828638299,0.0,0.0,0.0,0.0702652633785127,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
13,0.40098566308243727,0.05408504731184238,0.1257199968081771,0.36307797657780716,0.204304262638322,0.09928442745053752,0.0,0.317269128657029,0.05179858401931614,11237.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.14286675858789943,0.05179858401931614,0.04593363978009287,0.06357302955995939,0.08929201909255352,5657.416666666667,11237.5,206861.83333333334,54365.333333333336,136447.41666666666,0.23073419460516234,0.04132199006461484,0.099244581825227,0.01901129908477236,5.657124852753069,0.14348751167208829,3.0,3,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,3.0
15,0.7405164420577388,0.2396222668759649,0.36753636516398486,0.46091986326941853,0.35990060960068543,0.17917952712989607,0.0,0.6603257853257853,0.20606779130600805,34771.0,1.0,1.0,1.0,1.0,1.0,0.1669338215581009,0.20606779130600805,0.1199310870586997,0.14423220385060345,0.03881935743681451,6989.0,34771.0,512314.0,124533.25,69728.08333333333,0.5090850025125383,0.16730647805516832,0.3055426383697075,0.094341689362665,3.044463105175691,0.15300058591831842,3.6666666666666665,3,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,1.0,3.6666666666666665
16,0.7162676264322649,0.1300193181683573,0.27974976539168733,0.508446023283013,0.32553615268148656,0.16601782403550044,0.0,0.6032931134367092,0.15067239637282426,20263.75,1.0,1.0,1.0,0.6666666666666666,1.0,0.05766507035409502,0.15067239637282426,0.13693264521688306,0.001313089892931233,0.2946710609310033,1377.5,20263.75,586041.6666666666,2027.5833333333333,590355.4166666666,0.4641741168500955,0.13922638160616396,0.1701572650911023,0.06692924417633452,3.337221258097211,0.1043397806223058,3.6666666666666665,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,3.6666666666666665
18,0.47817213842058565,0.11995779946757527,0.1993333563569888,0.39563481281652474,0.17746843466519038,0.09356341918495152,0.0,0.424503287203516,0.09347339281055637,15850.916666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.07668349796523635,0.09347339281055637,0.0038534233465843787,0.011809092796628605,0.32632775467031494,2327.25,15850.916666666666,15693.833333333334,10870.166666666666,630150.6666666666,0.32123485828627935,0.09881350336971277,0.16666779554860944,0.05679000034713099,2.8221350086732913,0.11371134760552411,3.3333333333333335,3,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.0,0.3333333333333333,3.3333333333333335
20,0.6482382426654872,0.19623999440235448,0.3213721565432399,0.47822623497976985,0.354569544394701,0.16720422062552917,0.0,0.8166517732414779,0.14879104001868257,25802.75,1.0,1.0,1.0,1.0,1.0,0.035891715984451594,0.14879104001868257,0.026855652271345665,0.07571624086900104,0.050442078109673494,526.8333333333334,25802.75,126836.33333333333,65424.0,81129.91666666667,0.48156089807036045,0.19259141080638184,0.26791777872023353,0.11812173741822585,2.50665910897836,0.08692742070074955,3.0,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0
24,0.5487419095379877,0.1528725324977158,0.2726774208710951,0.59176069421149,0.27448144187269324,0.1337578639158168,0.0,0.5887880852997132,0.13484923493389345,24149.75,1.0,1.0,1.0,1.0,1.0,0.126075258434707,0.13484923493389345,0.04676813292443418,0.08651435565449002,0.18575797749268685,4328.25,24149.75,187671.08333333334,73575.41666666667,308088.75,0.444967877863567,0.106076424522637,0.23536423188654298,0.057315890032362204,4.213402762968514,0.14199314520903328,5.0,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0
31,0.6806105732040487,0.1946602139089393,0.3360106788683525,0.5612692177662609,0.2869296394768342,0.15180114275690493,0.0,0.6260226519190472,0.15518963968580857,31148.416666666668,1.0,1.0,1.0,1.0,1.0,0.02121210949431161,0.15518963968580857,0.03558160137447847,0.059648662351315114,0.1473749427275877,331.0833333333333,31148.416666666668,170312.16666666666,55068.583333333336,234597.91666666666,0.4778476799444234,0.20560143935573047,0.22575703713963094,0.10789263722032034,2.3271268462356383,0.062243197262218754,3.3333333333333335,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,3.3333333333333335
33,0.6927688904295405,0.23463617177258275,0.381511887930089,0.5640022562655714,0.28881952694463564,0.14717821678979287,0.0,0.4468544056172922,0.20556254866140686,36573.833333333336,1.0,1.0,1.0,1.0,1.0,0.1131904293444189,0.20556254866140686,0.04600436601456583,0.059742989101774356,0.04630653986028765,3528.3333333333335,36573.833333333336,190559.0,50252.166666666664,69674.91666666667,0.5293411768888477,0.17294071244584677,0.268126702960719,0.08153038661976209,3.0633341736022306,0.13585248646412898,4.666666666666667,3,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,4.666666666666667
