draw_idx,hiv.beta_m2f,hiv.rel_init_prev,log_syph.beta_m2f,log_syph.rel_trans_primary,syph.time_to_undetectable,syph.p_symp_primary_f,syph.p_symp_primary_m,log_syph.rel_init_prev,syph_symp_test.rel_test,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m2_conc,structuredsexual.dur_sw,log_hiv_syph.rel_sus_syph_hiv,log_hiv_syph.rel_trans_syph_hiv
2,0.0229238556691743,0.6528950487429978,-1.1635061704197502,0.7274536709508331,15.460183516805824,0.2937974700363405,0.5799881023164306,-2.472339805550127,1.1967397530617612,-1.932379621738657,-1.96974788080759,-2.0482591506693915,0.8741176672556723,5.963320199240132,14.35761402395727,0.0685129542652185,0.4337369747223045
12,0.0116900304246106,1.2650833978925635,-2.160082001465258,1.4522545290021591,14.101094089065624,0.1858287470500234,0.8526099826704563,-3.2361839754354467,1.4720867784852394,-1.0436915071075614,-1.1941728922071266,-0.9794465527279774,0.8195097484947352,7.569072305588566,8.735497984502206,0.864433802545605,0.7102319282648096
13,0.0277510820713915,1.4130928714915445,-2.10505757270823,1.102267983809681,13.480092882063737,0.4923411906856263,0.5334247822921812,-2.5711625218393053,1.3956082615108296,-1.535909539985672,-2.1549012849428704,-2.4118062987820763,0.6843892142904042,5.830395721394097,3.886830543235587,0.8772018125604493,0.6475176053767205
15,0.0292739324404627,0.5868393924114235,-1.0745196036882931,0.8129033401512801,29.45538452755952,0.3824597956865532,0.7696308994096457,-0.9642149477845036,0.3903119734346651,-0.7639512304198546,-1.5156160414002746,-2.450627016490909,0.5639162471713993,4.940227247181896,7.854297819655076,0.3729444363672275,0.7284634587686922
16,0.0171999154638298,0.7699722625769613,-1.7241131032331227,0.8701192530267464,11.117197216648902,0.1415219878952933,0.5124006508355555,-0.7825094509416526,0.7421413756823603,-0.7346377903222123,-2.5557077573114784,-1.2274779210759377,0.6530267224145645,6.822019457593474,7.057488197956457,0.6834587840883262,0.1008186096704919
18,0.0193741391301881,0.6374352612481362,-1.9036365216244648,1.6203614849222658,22.33965224411532,0.3257381204763959,0.6473271661436317,-2.047004972947124,0.6401285873298626,-2.294081156898748,-2.7328405370369846,-1.073487840014978,0.7892205670786467,7.700350491878821,6.466067346038096,0.9807267495505344,0.9069832169793802
20,0.0134382679858075,0.6559676824162012,-1.231502420475166,0.8082609607636465,25.1084760467141,0.3043864637946449,0.555647924569395,-2.7104020088877325,0.8291643824252037,-1.63422847848306,-2.065665900196734,-2.5767465633150284,0.7547255782618734,4.315092309880688,2.315167311176732,0.0134584552432243,0.4981758758951061
24,0.0261053163454987,1.3946047535721684,-1.8216566862486476,2.1963220270959303,26.27840603850329,0.4699538860031489,0.6612757939583217,-2.524573218750012,0.9889300243126428,-1.5532184521000814,-1.9483287061965648,-1.8585281377716711,0.6175642468354328,2.338796590413992,11.435016380502365,0.1939733174206419,0.0252817376302119
31,0.0101398721511142,1.3275355117383425,-1.6533320382493524,2.1698516553863803,25.061661395136746,0.3557058773702983,0.7259371323640089,-1.457785784069252,1.0437974786769664,-1.7134727252054167,-2.2428513274091797,-2.2218206190215115,0.8167915499470735,6.9074390418092,4.9482785117835,1.075105722802076,0.7883544663561367
33,0.0235517377319261,0.7769108533332338,-1.616618353268565,1.818218030154248,22.915098303896247,0.3970736171200241,0.9462973039626894,-0.6757119493618924,0.4356302124737379,-1.5770719525366466,-2.163042768011118,-2.5449576854174065,0.5575227356711643,2.8536770763775485,10.729948791287338,1.0648576768606732,0.085751343120179
