draw_idx,hiv.beta_m2f,hiv.rel_init_prev,log_syph.beta_m2f,log_syph.rel_trans_primary,syph.time_to_undetectable,syph.p_symp_primary_f,syph.p_symp_primary_m,log_syph.rel_init_prev,syph_symp_test.rel_test,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m2_conc,structuredsexual.dur_sw,log_hiv_syph.rel_sus_syph_hiv,log_hiv_syph.rel_trans_syph_hiv
26,0.0281307695921799,1.401950348861915,-1.8695645474979876,2.0856819904299524,18.94500100952841,0.4553564444995472,0.8572325857420375,-0.1640293166124871,0.8873897945511693,-1.9089174440229144,-2.5697808949755574,-2.4876988888666567,0.5978638811879674,4.500123289199026,4.329431706253718,0.2259839135478105,0.5181202811031691
33,0.018975868865963,0.831255426666617,-1.6413999291334818,1.4064673951638378,26.93754915194812,0.542036808560012,0.9278986519813448,-1.8400728087653544,0.9498151062368688,-1.2081478142685875,-1.6330250475620018,-2.606071224578602,0.7368113678355821,3.716838538188774,14.76297439564367,0.3181994421400552,0.1299232910881342
63,0.0206314773535785,1.0381248520371915,-1.5331791535656,0.5942540572157539,22.627561959582945,0.1655694709873112,0.6806226525161138,-0.9061983476101824,1.2655796412222509,-1.954651825819726,-2.6366612784795462,-2.7009975077408264,0.5888653643668603,2.3222589585244817,6.797763583906779,0.0706132358776623,0.0081293606799633
154,0.0141570416082449,1.2645791469051595,-1.9545117752374397,0.9856817407636924,13.503032165048303,0.4469269989370416,0.8711770895981856,-1.1003596827157849,1.0509471612243453,-1.830833183989077,-1.9280716899490205,-0.9813243211163892,0.7348406840665841,5.661925077123714,9.796963972830792,0.4265690706503234,0.5119193361943019
160,0.0195361914427583,0.3803484061449583,-1.989333387860186,1.43042330588012,19.85926847472855,0.4548834835207545,0.5904478480863652,-2.779993530550814,0.5180575162961815,-1.9891348827486468,-0.9248163568446736,-2.5273972599496526,0.8894716788505947,7.908452336696966,2.7840398737542555,0.4339721538867819,0.253678688029377
227,0.0207435549231803,0.8205956545543502,-1.889273305578464,2.2047355868646656,26.142358094596048,0.2510857987619328,0.5195441546388989,-1.8871398248914544,0.6025972672471122,-2.7646494218770634,-2.1080411935828507,-2.168746800130358,0.8145550512407593,7.756512890752713,3.3796984730423683,0.5711153581894307,0.6057336821735555
245,0.0268004834342532,1.2718478123453174,-1.7928260838698789,2.2826135616185046,12.975077390943367,0.3376770008236771,0.892165713829177,-2.414166204941992,0.4713606326071853,-1.3786080033666304,-1.3790973284377357,-2.785704260596136,0.6762809308457511,5.431735321748707,6.979741563913367,0.643946580213767,0.1468149448316656
307,0.0130045660000398,1.126044131418646,-2.2876185818959747,1.1608406939114295,13.045195660233452,0.1744673626215896,0.8279493561712423,-0.0453915065131877,1.0310715481816035,-1.7597589329961116,-0.9912639157663076,-2.758903681244055,0.7399681080188664,3.899381574601197,7.822158532523897,0.5838741280183187,0.0463535305258408
331,0.0290952574065146,0.4602412394613793,-2.057942441529863,1.8383711255426285,28.545903322219377,0.1681538529918989,0.5127457827468406,-0.719482194217349,0.506047945606193,-1.51043743106819,-0.9555645308711248,-1.9992146875829349,0.5535865113927498,2.876500932766759,11.683693285068829,0.6876669990657982,0.1093991567956117
489,0.016475741814615,0.6468938555345123,-2.03869436716568,1.5357266039632256,12.729221381120896,0.1576457419036323,0.8366559644352528,-2.131067787508698,0.3289525088273975,-1.632973033203324,-2.2287666059579743,-1.8151853497362724,0.7590246510507859,5.469451623776839,4.404969392516449,0.76173328577525,0.7442607701331087
541,0.0251827519522982,0.9295290509794096,-1.9103460301087625,1.7433835542932337,17.846270814873776,0.5595614277953421,0.8223135345348083,-0.3134957107176053,0.6096421534694136,-1.650903574322697,-1.5645267020463642,-1.7547479150975884,0.7925955672395789,4.336924711933415,2.961769709185099,0.635339525445532,0.6530969485604284
569,0.0214663057448428,0.659236206358534,-2.222484978349946,1.3670437330156515,24.022117865448127,0.5432505725680696,0.7890850014999431,-0.9107934377809608,0.3010616175904469,-1.2475883424360776,-1.4340294384490646,-1.5363510705473051,0.736127754532713,4.1827693545136455,11.447659895017823,0.9102852922980286,0.5866563774093964
591,0.0076640167152251,1.2578332159587275,-1.88239098115129,1.112115296715486,12.06350939752754,0.4582794315453061,0.8674946002203466,-0.5956900018070543,1.2563551332086191,-2.419127404568022,-1.7800442640676473,-1.4641837929134565,0.857713845845526,6.147876017565373,10.104994885644643,0.1918093553402045,0.788445802312853
599,0.0223065445717962,0.3109052837685975,-1.8992931014039625,1.0835849523775791,18.02922913922104,0.5544381278204898,0.8616966171129654,-0.8525708823418348,0.9712682243042065,-2.5521857638357908,-1.9553375780175997,-0.8155886566201778,0.7664208333292113,4.924931468398704,4.695660797252928,0.6070478071349253,0.0520190667727058
616,0.0209387005875237,0.6040711178774464,-1.8798012703431115,1.9090746234061975,26.34229762063372,0.3777749311630295,0.8169501996464366,-1.9070654887443836,0.4552634610823614,-2.72730503156368,-1.4317912839575548,-2.334257388973003,0.8250153666708292,7.821920635474694,4.26696784163559,0.4194291180241669,0.0602787814960327
707,0.0193746709367212,0.4798208677842394,-1.809335282271761,2.2178999467760026,16.793889998053626,0.2366701379529397,0.9486937373683936,-2.7992333331939303,1.2637081511688737,-2.856919502508842,-1.7333665268644904,-2.4927016083162394,0.5733141666498256,3.550550578729113,3.5940164936838483,0.4314369064335043,0.0342460831023678
723,0.0126613124240431,0.6924608260358895,-2.1717744293356205,1.3626474803602084,13.621591532303343,0.5626751496626914,0.7477068171333323,-1.016423264821566,0.893207219129303,-2.653573338070508,-1.4818435489225057,-2.4855850704679634,0.8957016206131683,3.068127417506985,5.154405814106513,0.1096862825733173,0.4229585144716577
726,0.0252817022927972,0.7086250950984497,-2.2744173730117376,1.3241012351477992,12.389392146073638,0.260178259807142,0.9439927515045554,-1.0818644683210028,0.951318832519542,-1.887999636875045,-1.7556436395934738,-1.1673661829534565,0.553967321807542,4.2794847003581005,5.428570700586203,0.1250600199223716,0.1523222571151319
744,0.0186287599733818,0.4528430090584202,-1.8286768478274569,1.4749433786079202,26.315026611603145,0.3418325994599245,0.7678439820097959,-0.0629375093835729,0.5489126496566377,-1.3215643348782409,-2.4454156627245345,-1.9707244260197332,0.8006991319497672,7.237550628230282,12.091169997716491,0.0771887916238517,0.7726706071590512
783,0.0232900520880377,0.958749453081506,-1.404654669291274,2.05635483701326,19.564865788746594,0.3849372994153086,0.6289525931747599,-2.517769006029676,0.9245117640490136,-1.874901012018935,-2.333833431119392,-0.9545668872061626,0.6550586981546288,4.837978036947765,10.56852868404432,0.3730039765608718,0.3797287527226429
789,0.0183210470640822,1.475984819598098,-2.06657947543246,1.7852926290945363,27.11907992655332,0.1736206057884529,0.5859062570600021,-1.6434239585875798,1.4560460038966736,-2.8370872194055896,-0.6943817170642896,-1.647348800516045,0.8651807919094212,4.12855176385508,4.877604753777151,0.1649573870189809,0.6339943949308475
820,0.0249702346196149,0.6104288314500482,-2.083648231719207,1.587565278561616,12.883376215125733,0.1193982520798898,0.5153542518788069,-0.536025849373122,1.329101597015688,-2.6150513858881315,-1.8579768460748227,-0.6978762416108748,0.7878078046279524,7.586295291139152,5.027448230393206,0.4170119671846967,0.5291251001576063
894,0.0262017320549222,0.7784234532495282,-1.9863543920344324,0.8261809452152079,23.63630003255437,0.365231833232903,0.6018603066610321,-1.0725246011865068,0.5013533486488818,-1.918638347253269,-0.9052552077606668,-0.6333070384593089,0.5996474334411206,2.125415477289003,4.304075609673818,1.0048239477373302,0.3263834006939207
933,0.0274154649810103,1.457541281645054,-2.013420477842914,1.8978800176447272,21.63580313377041,0.1095835743623931,0.714930477307871,-0.6198189641188372,0.5876666054648336,-1.5742164983004865,-0.7713617274430837,-1.3039874251348862,0.674515552109217,6.223361186221684,9.86049315562564,0.6799358936117509,0.1265988299586329
942,0.0198789921265995,0.4903169770732483,-2.175635910107089,1.12586172723398,18.187449481562524,0.3618402487630416,0.9323549027657864,-1.3299505947946444,1.444488102773175,-1.7142234906985934,-1.14428224149932,-0.629029991134201,0.5600279958746227,6.116664776775206,9.47456224212679,0.5250386755651061,0.0585144000583816
975,0.0236547929947371,1.377467469334703,-1.8473942241422256,1.7095881037425107,14.101289489464946,0.566639976386846,0.8652834879211697,-0.2867870557836802,1.0122625662077114,-1.7381635684513537,-1.7129289584478844,-0.969736862910902,0.8918421673268262,2.8442327007420127,5.094484619047061,0.3159346984140918,0.9075823835117646
