index,t0,had_partner,n_partners,n_notified,n_attended,notified_any,attended_any,A_reinfected,reinf_source,reinf_src_cat,reinf_by_partner,reinf_by_unattended_partner,partner_cured
5,555,True,1,0,0,False,False,True,12198,f_other,True,True,False
37,540,True,3,1,0,True,False,True,10731,f_other,True,True,False
39,579,False,0,0,0,False,False,False,-1,none,False,False,False
96,548,True,1,0,0,False,False,True,11201,f_other,True,True,False
109,561,True,1,0,0,False,False,True,10929,f_other,True,True,False
120,568,True,2,0,0,False,False,True,10987,f_other,True,True,False
264,557,True,1,0,0,False,False,True,12702,f_other,True,True,False
271,544,True,4,0,0,False,False,False,-1,none,False,False,False
320,577,False,0,0,0,False,False,True,13706,f_other,False,False,False
370,577,True,1,0,0,False,False,True,13964,f_other,True,True,False
389,579,True,1,0,0,False,False,True,11287,f_other,True,True,False
409,544,True,5,0,0,False,False,True,11425,f_other,True,True,False
411,572,True,1,0,0,False,False,True,12619,f_other,False,False,False
589,540,True,1,0,0,False,False,False,-1,none,False,False,False
731,585,False,0,0,0,False,False,False,-1,none,False,False,False
760,565,True,1,0,0,False,False,True,14269,f_other,True,True,False
767,564,False,0,0,0,False,False,False,-1,none,False,False,False
769,543,True,1,0,0,False,False,False,-1,none,False,False,False
775,547,True,1,0,0,False,False,False,-1,none,False,False,False
786,568,False,0,0,0,False,False,False,-1,none,False,False,False
835,551,False,0,0,0,False,False,False,-1,none,False,False,False
851,543,True,2,0,0,False,False,False,-1,none,False,False,False
921,587,True,2,0,0,False,False,False,-1,none,False,False,False
982,572,True,1,0,0,False,False,True,13575,f_other,True,True,False
992,578,False,0,0,0,False,False,False,-1,none,False,False,False
1040,584,True,2,0,0,False,False,False,-1,none,False,False,False
1060,584,True,1,0,0,False,False,False,-1,none,False,False,False
1088,556,True,2,1,1,True,True,True,10858,f_other,True,True,True
1089,569,True,1,0,0,False,False,True,101,f_other,False,False,False
1157,581,True,1,0,0,False,False,False,-1,none,False,False,False
1187,586,True,2,0,0,False,False,False,-1,none,False,False,False
1199,566,True,1,0,0,False,False,True,13065,f_other,True,True,False
1255,546,False,0,0,0,False,False,False,-1,none,False,False,False
1280,561,True,1,0,0,False,False,True,701,f_other,True,True,False
1284,582,True,1,0,0,False,False,False,-1,none,False,False,False
1358,558,True,1,0,0,False,False,True,12220,f_other,True,True,False
1359,543,True,2,0,0,False,False,True,10634,f_other,True,True,False
1399,556,True,1,1,1,True,True,True,10927,f_other,True,False,False
1407,562,True,1,0,0,False,False,True,10871,f_other,True,True,False
