draw_idx,hiv.beta_m2f,hiv.rel_init_prev,log_syph.beta_m2f,log_syph.rel_trans_primary,syph.time_to_undetectable,syph.p_symp_primary_f,syph.p_symp_primary_m,log_syph.rel_init_prev,syph_symp_test.rel_test,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m2_conc,structuredsexual.dur_sw,log_hiv_syph.rel_sus_syph_hiv,log_hiv_syph.rel_trans_syph_hiv
0,0.009071343467152625,0.5723316212515914,-1.6029511761192525,0.037708548343078005,26.85959084579197,0.48622066032760225,0.5721834980259859,-3.8775561658930147,1.1990194126874496,-1.1331799319538776,-1.5894397927843433,-1.251198830022417,0.6495930855580411,6.517651779102331,6.342934286031666,0.9921155506913345,0.5024734847715664
1,0.027306736156486815,0.7952883769616326,-1.3455917234038268,1.335246588500766,11.715204803642855,0.4622976905339359,0.7807603319755358,-2.352692253384121,1.4125922989531539,-1.3005234409083244,-2.779998126254275,-2.164531130916296,0.5982122272945182,6.1306662764829305,5.141461024537673,1.0025722021030108,0.44586363234008486
2,0.022923855669174372,0.6528950487429978,-1.1635061704197502,0.7274536709508331,15.460183516805824,0.2937974700363405,0.5799881023164306,-2.472339805550127,1.1967397530617612,-1.932379621738657,-1.96974788080759,-2.0482591506693915,0.8741176672556723,5.9633201992401315,14.35761402395727,0.06851295426521853,0.43373697472230455
3,0.027578184656729402,1.2495001475959195,-1.9815628007723738,0.5465600781259549,27.026377791629447,0.3442492706953809,0.8819490605027656,-1.4203010051922709,0.7220610191609044,-1.365075714799206,-2.6268547994706926,-2.4433641301853526,0.835731541606335,5.207878109233089,5.247033138551949,0.2838741626066879,0.46272464860704027
4,0.0164795635858417,0.5097052322381977,-1.3136456043429865,0.3956938117916096,20.990666377900943,0.19281828439011792,0.6229253288127624,-1.5140700617384901,0.7770104258910703,-2.0330650487373774,-2.251367326298256,-3.514850898623957,0.6090146980722299,3.166723783159405,2.853852088308877,0.11577319950019387,0.24588476095587541
5,0.014664718028361497,0.4643595268277364,-1.2650767000703247,2.0205327263029567,11.982093542301085,0.289511394417451,0.7014453646137755,-0.5258415056285641,0.4160804446910707,-1.1666097837032365,-1.2798332360159845,-1.7304508789308324,0.8413607857117749,7.43068251413231,11.908066062393978,0.8023376868113546,0.33317545390604286
6,0.025503919589856035,1.3425878959929118,-2.1274918340122237,0.32640942042435905,11.662002071261306,0.33752437184002065,0.6566184628960573,-0.5960805974904675,0.6236434265988346,-1.384123890401761,-1.9437769404551741,-1.260030938593423,0.6099902487613645,2.3092639415669383,9.162819689206643,0.7334292848112889,0.09762645990485486
7,0.02622516761677356,0.44861673754328635,-2.186062677037114,1.6735581708132308,28.05966477213215,0.5507749189027344,0.5981554961977882,-1.9264077638338926,1.3771150329135347,-1.2505570967080977,-2.20049839443792,-3.033021201454012,0.6346242859349871,6.226147910892523,5.624179809468545,0.5057606766175229,0.7950776726982296
8,0.020127482699677048,0.9770447086184322,-1.3301546895477632,1.191295600707374,14.88854601297314,0.1443109225259405,0.6436456121476892,-1.4845623631769316,0.6132691285896863,-0.5407479792915957,-1.59286642909589,-2.1223745867206203,0.7288857938362245,3.20931673180093,6.300102963323005,0.9757119658662,0.8931811103766782
9,0.02896033084661051,0.37232036973408333,-1.1322106703062211,1.883138954007351,23.935121964445404,0.4892092151283023,0.5921420924866674,-1.6098491989744486,1.2439876302865192,-1.7378684646105895,-0.7710341751420304,-3.3092653505729364,0.7902816979411351,5.056534375441359,9.191141178027934,0.6201072180772464,0.24950080404969754
10,0.014239306327232491,0.3624130243729467,-1.9120808487562044,0.977267296275734,22.262509470220202,0.23250030002434327,0.6353282742136677,-2.428706133449122,0.8496107451887323,-1.6122201431935799,-2.784326667443155,-1.7276921353524588,0.6848788297967021,2.312024650625466,3.1727317788433047,0.4014631691407669,0.3030555275405792
11,0.022203239624930246,0.46798057979019947,-1.9381990125535709,0.7976034505999492,23.236468308188236,0.5784927191195002,0.7731397495735348,-1.54066412222019,1.1352739234893818,-2.0628097374279166,-1.6879554595121877,-3.6158738766789287,0.6511504372951076,6.125617215028345,8.272290606147685,0.7728996653706356,0.5849994824279371
12,0.011690030424610684,1.2650833978925635,-2.160082001465258,1.4522545290021593,14.101094089065624,0.18582874705002345,0.8526099826704563,-3.2361839754354467,1.4720867784852394,-1.0436915071075614,-1.1941728922071266,-0.9794465527279774,0.8195097484947352,7.569072305588566,8.735497984502206,0.864433802545605,0.7102319282648096
13,0.02775108207139152,1.4130928714915443,-2.10505757270823,1.102267983809681,13.480092882063737,0.4923411906856263,0.5334247822921812,-2.5711625218393053,1.3956082615108296,-1.535909539985672,-2.1549012849428704,-2.4118062987820763,0.6843892142904042,5.830395721394097,3.886830543235587,0.8772018125604493,0.6475176053767205
14,0.021270334224670534,1.021689098883289,-1.4732314031625016,1.1552900468363128,21.775060977954347,0.10974674878272345,0.8406846484137902,-0.02633983625279024,0.40623824676241405,-1.2895242982537858,-0.9415750842898567,-2.9408141986486296,0.8852856708969625,6.115204564549436,6.581071969745105,0.9269377228292036,0.4745733924063459
15,0.029273932440462717,0.5868393924114235,-1.0745196036882931,0.8129033401512801,29.455384527559517,0.3824597956865532,0.7696308994096457,-0.9642149477845035,0.39031197343466517,-0.7639512304198546,-1.5156160414002746,-2.450627016490909,0.5639162471713993,4.9402272471818955,7.854297819655076,0.3729444363672275,0.7284634587686922
16,0.01719991546382982,0.7699722625769613,-1.7241131032331227,0.8701192530267464,11.117197216648902,0.14152198789529333,0.5124006508355555,-0.7825094509416526,0.7421413756823603,-0.7346377903222123,-2.5557077573114784,-1.2274779210759377,0.6530267224145645,6.822019457593474,7.057488197956457,0.6834587840883262,0.1008186096704919
17,0.016342720397304403,1.3607943736431227,-1.6433378659126103,0.5297697645491624,17.136013132791074,0.5123312108750899,0.6866193836994291,-3.3375116075650966,0.9796405469082414,-1.0925575127934872,-1.2778517768701596,-2.632618797494681,0.8298944326578779,7.693351452368837,4.60957001984601,1.0341789488440682,0.44049054984302066
