seed,year,stage,n,share
101,1985,primary,76,0.6440677966101694
101,1985,secondary,41,0.3474576271186441
101,1985,early_latent,1,0.00847457627118644
101,1985,late_latent,0,0.0
101,1986,primary,327,0.6606060606060606
101,1986,secondary,164,0.33131313131313134
101,1986,early_latent,4,0.00808080808080808
101,1986,late_latent,0,0.0
101,1987,primary,330,0.5799648506151143
101,1987,secondary,225,0.3954305799648506
101,1987,early_latent,14,0.02460456942003515
101,1987,late_latent,0,0.0
101,1988,primary,98,0.45161290322580644
101,1988,secondary,117,0.5391705069124424
101,1988,early_latent,2,0.009216589861751152
101,1988,late_latent,0,0.0
101,1989,primary,79,0.5642857142857143
101,1989,secondary,53,0.37857142857142856
101,1989,early_latent,8,0.05714285714285714
101,1989,late_latent,0,0.0
101,1990,primary,28,0.5
101,1990,secondary,26,0.4642857142857143
101,1990,early_latent,2,0.03571428571428571
101,1990,late_latent,0,0.0
101,1991,primary,2,0.25
101,1991,secondary,4,0.5
101,1991,early_latent,2,0.25
101,1991,late_latent,0,0.0
102,1985,primary,17,0.7727272727272727
102,1985,secondary,4,0.18181818181818182
102,1985,early_latent,1,0.045454545454545456
102,1985,late_latent,0,0.0
103,1985,primary,144,0.7700534759358288
103,1985,secondary,41,0.2192513368983957
103,1985,early_latent,2,0.0106951871657754
103,1985,late_latent,0,0.0
103,1986,primary,483,0.6321989528795812
103,1986,secondary,263,0.34424083769633507
103,1986,early_latent,18,0.02356020942408377
103,1986,late_latent,0,0.0
103,1987,primary,154,0.5116279069767442
103,1987,secondary,136,0.45182724252491696
103,1987,early_latent,11,0.036544850498338874
103,1987,late_latent,0,0.0
103,1988,primary,45,0.4787234042553192
103,1988,secondary,47,0.5
103,1988,early_latent,2,0.02127659574468085
103,1988,late_latent,0,0.0
103,1989,primary,33,0.4230769230769231
103,1989,secondary,45,0.5769230769230769
103,1989,early_latent,0,0.0
103,1989,late_latent,0,0.0
103,1990,primary,9,0.32142857142857145
103,1990,secondary,19,0.6785714285714286
103,1990,early_latent,0,0.0
103,1990,late_latent,0,0.0
103,1991,primary,5,0.5555555555555556
103,1991,secondary,4,0.4444444444444444
103,1991,early_latent,0,0.0
103,1991,late_latent,0,0.0
