seed,year,stage,n,share
101,1985,primary,105,0.7142857142857143
101,1985,secondary,40,0.272108843537415
101,1985,early_latent,2,0.013605442176870748
101,1985,late_latent,0,0.0
101,1986,primary,415,0.6184798807749627
101,1986,secondary,249,0.3710879284649776
101,1986,early_latent,7,0.010432190760059613
101,1986,late_latent,0,0.0
101,1987,primary,317,0.5493934142114385
101,1987,secondary,246,0.42634315424610053
101,1987,early_latent,14,0.024263431542461005
101,1987,late_latent,0,0.0
101,1988,primary,149,0.5265017667844523
101,1988,secondary,121,0.4275618374558304
101,1988,early_latent,13,0.045936395759717315
101,1988,late_latent,0,0.0
101,1989,primary,77,0.5133333333333333
101,1989,secondary,65,0.43333333333333335
101,1989,early_latent,8,0.05333333333333334
101,1989,late_latent,0,0.0
101,1990,primary,41,0.47674418604651164
101,1990,secondary,43,0.5
101,1990,early_latent,2,0.023255813953488372
101,1990,late_latent,0,0.0
101,1991,primary,26,0.65
101,1991,secondary,12,0.3
101,1991,early_latent,2,0.05
101,1991,late_latent,0,0.0
101,1992,primary,41,0.6721311475409836
101,1992,secondary,20,0.32786885245901637
101,1992,early_latent,0,0.0
101,1992,late_latent,0,0.0
101,1993,primary,76,0.6386554621848739
101,1993,secondary,41,0.3445378151260504
101,1993,early_latent,2,0.01680672268907563
101,1993,late_latent,0,0.0
101,1994,primary,259,0.6573604060913706
101,1994,secondary,132,0.3350253807106599
101,1994,early_latent,3,0.007614213197969543
101,1994,late_latent,0,0.0
101,1995,primary,153,0.5294117647058824
101,1995,secondary,131,0.4532871972318339
101,1995,early_latent,5,0.01730103806228374
101,1995,late_latent,0,0.0
101,1996,primary,58,0.5178571428571429
101,1996,secondary,49,0.4375
101,1996,early_latent,5,0.044642857142857144
101,1996,late_latent,0,0.0
101,1997,primary,57,0.6129032258064516
101,1997,secondary,33,0.3548387096774194
101,1997,early_latent,3,0.03225806451612903
101,1997,late_latent,0,0.0
101,1998,primary,58,0.5087719298245614
101,1998,secondary,51,0.4473684210526316
101,1998,early_latent,5,0.043859649122807015
101,1998,late_latent,0,0.0
101,1999,primary,104,0.6842105263157895
101,1999,secondary,45,0.29605263157894735
101,1999,early_latent,3,0.019736842105263157
101,1999,late_latent,0,0.0
101,2000,primary,99,0.5963855421686747
101,2000,secondary,67,0.4036144578313253
101,2000,early_latent,0,0.0
101,2000,late_latent,0,0.0
101,2001,primary,123,0.6648648648648648
101,2001,secondary,56,0.3027027027027027
101,2001,early_latent,6,0.032432432432432434
101,2001,late_latent,0,0.0
101,2002,primary,161,0.5985130111524164
101,2002,secondary,107,0.39776951672862454
101,2002,early_latent,1,0.0037174721189591076
101,2002,late_latent,0,0.0
101,2003,primary,126,0.5454545454545454
101,2003,secondary,101,0.43722943722943725
101,2003,early_latent,4,0.017316017316017316
101,2003,late_latent,0,0.0
101,2004,primary,95,0.5974842767295597
101,2004,secondary,62,0.389937106918239
101,2004,early_latent,2,0.012578616352201259
101,2004,late_latent,0,0.0
101,2005,primary,37,0.5441176470588235
101,2005,secondary,30,0.4411764705882353
101,2005,early_latent,1,0.014705882352941176
101,2005,late_latent,0,0.0
101,2006,primary,65,0.7142857142857143
101,2006,secondary,23,0.25274725274725274
101,2006,early_latent,3,0.03296703296703297
101,2006,late_latent,0,0.0
101,2007,primary,112,0.6222222222222222
101,2007,secondary,65,0.3611111111111111
101,2007,early_latent,3,0.016666666666666666
101,2007,late_latent,0,0.0
101,2008,primary,133,0.6333333333333333
101,2008,secondary,75,0.35714285714285715
101,2008,early_latent,2,0.009523809523809525
101,2008,late_latent,0,0.0
101,2009,primary,126,0.6206896551724138
101,2009,secondary,74,0.3645320197044335
101,2009,early_latent,3,0.014778325123152709
101,2009,late_latent,0,0.0
101,2010,primary,205,0.6902356902356902
101,2010,secondary,91,0.3063973063973064
101,2010,early_latent,1,0.003367003367003367
101,2010,late_latent,0,0.0
101,2011,primary,214,0.6275659824046921
101,2011,secondary,118,0.3460410557184751
101,2011,early_latent,9,0.026392961876832845
101,2011,late_latent,0,0.0
101,2012,primary,145,0.6331877729257642
101,2012,secondary,81,0.3537117903930131
101,2012,early_latent,3,0.013100436681222707
101,2012,late_latent,0,0.0
101,2013,primary,140,0.6666666666666666
101,2013,secondary,66,0.3142857142857143
101,2013,early_latent,4,0.01904761904761905
101,2013,late_latent,0,0.0
101,2014,primary,77,0.6260162601626016
101,2014,secondary,42,0.34146341463414637
101,2014,early_latent,4,0.032520325203252036
101,2014,late_latent,0,0.0
101,2015,primary,44,0.6285714285714286
101,2015,secondary,26,0.37142857142857144
101,2015,early_latent,0,0.0
101,2015,late_latent,0,0.0
101,2016,primary,101,0.7651515151515151
101,2016,secondary,30,0.22727272727272727
101,2016,early_latent,1,0.007575757575757576
