draw_idx,hiv.beta_m2f,log_syph.beta_m2f,log_syph.rel_trans_primary,syph.time_to_undetectable,syph.p_symp_primary_f,syph.p_symp_primary_m,log_syph.rel_init_prev,syph_symp_test.rel_test,log_ng.beta_m2f,log_ct.beta_m2f,log_tv.beta_m2f,structuredsexual.prop_f0,structuredsexual.m2_conc,structuredsexual.dur_sw,log_hiv_syph.rel_sus_syph_hiv,log_hiv_syph.rel_trans_syph_hiv,pn.p_notify_stable,pn.p_notify_casual
3,0.0220885061650736,-1.5966151722082442,1.473882369632566,29.409722408582414,0.2215978335652287,0.9460038902299936,-0.2410425557386104,0.5330172609608643,-2.3981100790172523,-1.3406272772144217,-1.469952822600066,0.7599454667886092,6.068966295213082,6.450534509407817,0.1571614926111018,0.8132986400735497,0.2824645521897025,0.1054021560811699
6,0.0222170429313011,-1.5860871316321266,2.295734193737678,26.70511850031775,0.2074646660728726,0.7538524751520266,-0.7600343788610218,1.2667042627910363,-3.6066205144444687,-3.597571579920025,-1.6724785904408035,0.8452679953764141,5.946099745791567,8.360294553562891,0.1866177762569839,0.5686595934230181,0.1003333255976274,0.0551650537082078
15,0.0396252624591656,-1.109966371362173,1.8681028878466368,12.842100494870634,0.2355399399420632,0.8397878611028424,-1.5500381266617609,0.8637750970267586,-3.0647345102006582,-3.098019185218892,-3.650975897638901,0.6356348172816992,5.584785075062701,12.49345092790239,0.5135977699293,0.6353901058500511,0.198465704196671,0.1629665513273166
23,0.0259726229558951,-1.073016387404927,2.216201610286729,20.788492664871264,0.3018516704802435,0.9400801717062466,-1.3835460319043933,1.3855623887906967,-2.620125989640491,-2.24665439120158,-3.0779886682187807,0.7074870482744726,6.160375612354427,8.433583072598704,0.8265815170960827,0.1510320232144955,0.3576979229889752,0.1571883543277245
39,0.0291720369724416,-1.096021443108003,0.6378908599638601,29.81756206903513,0.5597135211062114,0.7021685966076655,-1.1963096418191208,0.8552243597144462,-3.3861816949776644,-3.0423949696290595,-3.880563664323677,0.7128307219818671,6.067169202760799,10.525125051717128,0.2732424060065087,0.5717438964684458,0.2009749202049217,0.0374954768784148
45,0.0442675304274111,-1.125704568538315,1.403564664790986,24.316134847765724,0.5876320081350463,0.8516763521490145,-3.005488496813176,1.0237522322744184,-2.2449106502678893,-1.578444323505734,-2.276300023504711,0.6673718745236786,5.231301514034199,3.8722339578782106,0.7905052049815179,0.2899810321600802,0.3560268810149031,0.1462774077686534
50,0.0272017541818395,-1.328092861293838,1.2200036815738275,10.713954469853975,0.1765451079982733,0.9181923867715897,-0.2812408790775111,1.4754267075921408,-3.412828399741616,-1.656379069785434,-2.815031455985194,0.594434658309192,6.618970258151784,6.082674434631442,1.014958668192776,0.4115100038816149,0.2666857223356623,0.1214897214733357
59,0.0228103149568042,-1.132521194511752,1.689516285001008,17.9027561107479,0.1015115772353999,0.846748186031954,-0.4416347212191711,1.4991634050228275,-1.3881786769912727,-3.6749735285046143,-3.2187901000677748,0.8882928051128616,5.462645002965834,2.2348005915900937,0.9461278225153298,0.0852764494025253,0.2179097129609948,0.0804575021611559
61,0.0429876806739299,-1.3756658180740748,1.598557320839206,28.388496189091125,0.2790377546980925,0.5828847743084634,-1.026411636512853,1.3495603381466743,-2.422524085089747,-2.2690506493928613,-3.16500928456244,0.6236453742121275,3.710469609925379,5.022362597274894,0.2213983726811116,0.6075779123336772,0.4639603309975811,0.1041987493867966
95,0.0301822362117012,-1.500927186179298,2.1587617795148617,18.884518055475212,0.4303515523062555,0.6927409399909864,-0.747396463907819,0.5246646006942381,-1.3289871111896625,-3.548916696294831,-3.097312704249058,0.8947169009963205,3.9719592648583055,6.686427599585779,0.0083377734355934,0.7751636118034796,0.4380852222786773,0.1311251548241558
99,0.0327469470593746,-1.8850053404370997,0.8031294730879733,13.20597053027187,0.3438933245916112,0.9438577366295416,-0.3259243094007056,0.9431385854082788,-2.4917396565679093,-2.797501231376389,-3.1345141711702844,0.6472716953500028,7.323758303938088,4.327391535778227,0.6963215748802137,0.2676913336972846,0.4319243434526808,0.0952315757156251
