arm,seed,uid,t0_year,reinfected,months,src_cat
SOC,263000,2,2028,True,19.0,m_other
SOC,263000,10,2028,False,,none
SOC,263000,25,2028,True,3.0,f_other
SOC,263000,40,2037,False,,none
SOC,263000,70,2030,True,3.0,m_other
SOC,263000,97,2029,True,5.0,f_other
SOC,263000,126,2029,True,1.0,f_other
SOC,263000,170,2028,True,1.0,f_other
SOC,263000,177,2028,False,,none
SOC,263000,201,2028,False,,none
SOC,263000,324,2030,True,1.0,f_other
SOC,263000,342,2028,True,6.0,f_other
SOC,263000,468,2028,False,,none
SOC,263000,516,2028,True,4.0,f_other
SOC,263000,517,2028,False,,none
SOC,263000,537,2028,False,,none
SOC,263000,584,2029,False,,none
SOC,263000,662,2028,True,3.0,f_other
SOC,263000,730,2028,False,,none
SOC,263000,773,2028,True,12.0,f_other
SOC,263000,778,2029,True,2.0,f_other
SOC,263000,786,2029,True,20.0,m_other
SOC,263000,799,2030,True,3.0,m_other
SOC,263000,825,2030,False,,none
SOC,263000,834,2033,False,,none
SOC,263000,851,2033,True,13.0,f_other
SOC,263000,857,2031,False,,none
SOC,263000,872,2028,True,1.0,m_other
SOC,263000,874,2028,True,1.0,f_other
SOC,263000,875,2031,False,,none
SOC,263000,905,2030,False,,none
SOC,263000,924,2029,False,,none
SOC,263000,940,2031,False,,none
SOC,263000,978,2029,False,,none
SOC,263000,1016,2028,False,,none
SOC,263000,1093,2034,False,,none
SOC,263000,1144,2034,False,,none
SOC,263000,1157,2030,True,2.0,f_other
SOC,263000,1173,2030,True,2.0,f_other
SOC,263000,1193,2030,True,1.0,f_other
SOC,263000,1260,2030,True,2.0,f_other
SOC,263000,1353,2028,True,4.0,f_other
SOC,263000,1354,2031,True,2.0,f_other
SOC,263000,1374,2028,False,,none
SOC,263000,1479,2029,True,2.0,f_other
SOC,263000,1515,2032,False,,none
SOC,263000,1600,2032,True,4.0,f_other
SOC,263000,1602,2035,True,19.0,f_other
SOC,263000,1609,2029,True,1.0,f_other
SOC,263000,1617,2028,True,32.0,f_other
SOC,263000,1630,2036,True,4.0,client
SOC,263000,1730,2030,True,25.0,f_other
SOC,263000,1737,2028,True,3.0,fsw
SOC,263000,1754,2030,True,22.0,f_other
SOC,263000,1834,2028,True,3.0,f_other
SOC,263000,1844,2031,True,14.0,f_other
SOC,263000,1898,2035,True,3.0,m_other
SOC,263000,1931,2028,True,1.0,f_other
SOC,263000,1946,2033,True,8.0,m_other
SOC,263000,1977,2033,False,,none
SOC,263000,1999,2028,True,19.0,f_other
SOC,263000,2000,2029,True,4.0,f_other
SOC,263000,2005,2030,True,5.0,f_other
SOC,263000,2035,2034,True,3.0,f_other
SOC,263000,2065,2028,True,1.0,f_other
SOC,263000,2155,2028,True,2.0,m_other
SOC,263000,2170,2028,False,,none
SOC,263000,2194,2029,True,1.0,m_other
SOC,263000,2204,2032,False,,none
SOC,263000,2227,2029,True,3.0,m_other
SOC,263000,2244,2028,True,1.0,f_other
SOC,263000,2267,2030,True,3.0,f_other
SOC,263000,2285,2028,True,6.0,f_other
SOC,263000,2296,2029,False,,none
SOC,263000,2322,2028,False,,none
SOC,263000,2328,2029,False,,none
SOC,263000,2329,2028,False,,none
SOC,263000,2420,2028,False,,none
SOC,263000,2485,2035,False,,none
SOC,263000,2489,2034,True,1.0,f_other
SOC,263000,2570,2031,True,1.0,m_other
SOC,263000,2611,2029,True,23.0,f_other
SOC,263000,2705,2029,False,,none
SOC,263000,2720,2034,False,,none
SOC,263000,2746,2028,True,4.0,f_other
SOC,263000,2850,2033,True,2.0,f_other
SOC,263000,2851,2036,True,15.0,m_other
SOC,263000,2862,2028,True,10.0,f_other
SOC,263000,2875,2029,False,,none
SOC,263000,2893,2029,False,,none
SOC,263000,3002,2029,True,8.0,f_other
SOC,263000,3048,2030,True,8.0,f_other
SOC,263000,3049,2030,True,3.0,f_other
SOC,263000,3065,2028,False,,none
SOC,263000,3096,2032,True,3.0,f_other
SOC,263000,3121,2030,True,12.0,f_other
SOC,263000,3129,2031,True,3.0,f_other
SOC,263000,3150,2030,False,,none
SOC,263000,3207,2030,False,,none
SOC,263000,3211,2029,False,,none
SOC,263000,3217,2037,True,2.0,m_other
SOC,263000,3284,2035,True,3.0,f_other
SOC,263000,3390,2028,True,1.0,f_other
SOC,263000,3408,2030,False,,none
SOC,263000,3414,2035,True,1.0,f_other
SOC,263000,3446,2029,True,4.0,m_other
