arm,seed,n_adult,n_vds,ng_prev_all,ng_prev_vds,ng_tx_all,ng_tp_all,ng_tx_vds,ng_tp_vds,ct_prev_all,ct_prev_vds,ct_tx_all,ct_tp_all,ct_tx_vds,ct_tp_vds,tv_prev_all,tv_prev_vds,tv_tx_all,tv_tp_all,tv_tx_vds,tv_tp_vds
SOC,263000,1116668,198316,112125,39419,7606,3141,6464,2597,167143,60198,7606,1478,6464,1247,266884,71614,8910,2109,7425,1577
SOC,263001,1138821,207683,122372,44011,8242,3507,6959,2875,178491,64717,8242,1586,6959,1313,281533,74860,9589,2236,7965,1660
SOC,263002,1103425,202155,115477,41062,7670,3093,6515,2535,171204,62339,7670,1369,6515,1160,273585,73019,8909,2006,7456,1491
SOC,263003,1085320,202460,109960,39847,7599,3196,6457,2606,160497,59931,7599,1371,6457,1145,253852,71682,8901,2089,7431,1511
SOC,263004,1084005,197705,102190,36429,7077,2823,6037,2323,159321,58194,7077,1310,6037,1096,264723,69566,8232,1939,6906,1441
POC,263000,1116668,216366,112125,41699,7183,5548,4382,3048,176328,63715,7030,2260,3298,848,233073,63171,7719,2254,3378,840
POC,263001,1138821,227091,122372,46299,7820,6183,4749,3439,185732,68547,7407,2352,3396,883,250546,69749,7919,2196,3312,792
POC,263002,1103425,221049,115477,43091,6797,5254,4140,2891,177305,65718,6766,2049,3132,817,241305,68122,7258,2032,2934,662
POC,263003,1085320,219795,109960,41990,7556,5838,4812,3413,166518,62637,7126,2245,3355,872,221366,65949,7634,2090,3184,728
POC,263004,1084005,217418,102190,38578,6503,4977,4059,2804,161861,59473,6150,1934,2830,758,232417,64899,6919,1949,2944,710
