cell,care,pn,bp,poc,draw,hiv_new_inf,hiv_new_inf_f,hiv_new_inf_m,hiv_prev_end,hiv_new_treated,hiv_new_treated_f,hiv_new_treated_m,hiv_new_treated_success,hiv_new_treated_success_f,hiv_new_treated_success_m,hiv_new_treated_unnecessary,hiv_new_treated_unnecessary_f,hiv_new_treated_unnecessary_m,hiv_prop_treated,ng_new_inf,ng_new_inf_f,ng_new_inf_m,ng_prev_end,ng_new_treated,ng_new_treated_f,ng_new_treated_m,ng_new_treated_success,ng_new_treated_success_f,ng_new_treated_success_m,ng_new_treated_unnecessary,ng_new_treated_unnecessary_f,ng_new_treated_unnecessary_m,ng_prop_treated,ct_new_inf,ct_new_inf_f,ct_new_inf_m,ct_prev_end,ct_new_treated,ct_new_treated_f,ct_new_treated_m,ct_new_treated_success,ct_new_treated_success_f,ct_new_treated_success_m,ct_new_treated_unnecessary,ct_new_treated_unnecessary_f,ct_new_treated_unnecessary_m,ct_prop_treated,tv_new_inf,tv_new_inf_f,tv_new_inf_m,tv_prev_end,tv_new_treated,tv_new_treated_f,tv_new_treated_m,tv_new_treated_success,tv_new_treated_success_f,tv_new_treated_success_m,tv_new_treated_unnecessary,tv_new_treated_unnecessary_f,tv_new_treated_unnecessary_m,tv_prop_treated,syph_new_inf,syph_new_inf_f,syph_new_inf_m,syph_prev_end,syph_new_treated,syph_new_treated_f,syph_new_treated_m,syph_new_treated_success,syph_new_treated_success_f,syph_new_treated_success_m,syph_new_treated_unnecessary,syph_new_treated_unnecessary_f,syph_new_treated_unnecessary_m,syph_sti_prev_end,pn_new_notified,pn_new_attending,pn_new_notified_current,pn_new_notified_previous,pn_new_index_total,pn_new_index_no_sti,pn_new_notified_no_sti,pn_new_attended_no_sti,pn_new_index_total_f,pn_new_index_total_m,pn_new_index_no_sti_f,pn_new_index_no_sti_m,pn_new_notified_f,pn_new_notified_m,pn_new_notified_no_sti_f,pn_new_notified_no_sti_m,pn_new_attending_f,pn_new_attending_m,pn_new_attended_no_sti_f,pn_new_attended_no_sti_m,ng_treated_within_3mo,ng_treated_within_6mo,ct_treated_within_3mo,ct_treated_within_6mo,tv_treated_within_3mo,tv_treated_within_6mo,syph_treated_within_3mo,syph_treated_within_6mo,syph_prop_treated
POC_c-baseline_p-baseline_b-high,baseline,baseline,high,True,75,976140.0,648672.0,327468.0,0.113014031144183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6391542.0,2867868.0,3525762.0,0.0080589258165264,1885986.0,829284.0,1056876.0,1096374.0,200274.0,896100.0,744024.0,622572.0,121452.0,0.17169351410424402,6851598.0,3286512.0,3567696.0,0.035056461394620805,3112512.0,1322574.0,1791156.0,2202840.0,652326.0,1550514.0,665724.0,599082.0,66642.0,0.3226392262199824,4427256.0,1326576.0,3102942.0,0.010960161758543,1325532.0,887922.0,438480.0,482850.0,220980.0,261870.0,792396.0,640842.0,151554.0,0.10948795164618381,571590.0,311634.0,259956.0,0.015141014249920402,827718.0,461274.0,366618.0,456924.0,262914.0,194010.0,357222.0,191400.0,165822.0,0.0036063542708974,729234.0,445266.0,729234.0,0.0,4469538.0,1204776.0,301716.0,165474.0,1996128.0,2473410.0,1153272.0,51504.0,492768.0,236466.0,146682.0,155034.0,338604.0,106662.0,96918.0,68556.0,1016856.0,1078974.0,1807338.0,1986558.0,383670.0,413772.0,232464.0,314418.0,0.8112863402807126
POC_c-baseline_p-baseline_b-high,baseline,baseline,high,True,78,553146.0,381930.0,171216.0,0.08170669703256041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18793392.0,8808750.0,9991776.0,0.022580786617028004,6069990.0,2496204.0,3575178.0,3981642.0,1109250.0,2872392.0,1921830.0,1338582.0,583248.0,0.21191301076977123,27070050.0,13366854.0,13717812.0,0.1266202981578916,14603472.0,6238596.0,8370966.0,11832870.0,4583334.0,7249536.0,1474998.0,1145094.0,329904.0,0.4371590554820214,80258892.0,23598750.0,56706426.0,0.18103240889222422,15024030.0,7350282.0,7679838.0,11447808.0,5325096.0,6122712.0,2318376.0,1450116.0,868260.0,0.14263272704654423,62118.0,35148.0,26970.0,0.006319453742134,513474.0,298584.0,215064.0,75690.0,52722.0,22968.0,434304.0,243078.0,191226.0,0.0,3271026.0,1853796.0,3271026.0,0.0,17525976.0,2504034.0,534702.0,256302.0,7621548.0,9904428.0,2122104.0,381930.0,2154642.0,1116384.0,175914.0,358788.0,1392870.0,460926.0,106314.0,149988.0,3546990.0,3875328.0,8411334.0,9839352.0,9434106.0,10120014.0,11310.0,21576.0,1.218487394957983
POC_c-baseline_p-baseline_b-high,baseline,baseline,high,True,236,278226.0,192966.0,85260.0,0.061222480667050605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740196.0,328512.0,411684.0,0.0001406241549028,1671096.0,1100724.0,570720.0,161820.0,37932.0,123888.0,1503186.0,1061400.0,441786.0,0.21467778535836735,32772378.0,15764052.0,17021898.0,0.16311153733879302,12957432.0,5127258.0,7835394.0,10837416.0,3842268.0,6995148.0,924984.0,851730.0,73254.0,0.3307129878619318,19065180.0,6281574.0,12794046.0,0.045252291519279605,4609782.0,2632794.0,1979772.0,2747286.0,1408530.0,1338756.0,1564608.0,1069056.0,495552.0,0.14409690308804382,112926.0,68904.0,44022.0,0.008097587389446801,575592.0,335994.0,239772.0,116232.0,79518.0,36714.0,453096.0,252648.0,200448.0,0.0,2457402.0,1505970.0,2457402.0,0.0,13857012.0,1760532.0,566370.0,306240.0,5933748.0,7923264.0,1647780.0,112752.0,1631076.0,826326.0,240294.0,326076.0,1133088.0,372882.0,157470.0,148770.0,144768.0,157470.0,8908974.0,9768012.0,2059116.0,2247036.0,41412.0,56898.0,1.015408320493066
POC_c-baseline_p-baseline_b-high,baseline,baseline,high,True,263,17226.0,14442.0,2784.0,0.0144066460684826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17208252.0,7229874.0,9985338.0,0.020344743550419802,5605062.0,2217456.0,3389694.0,3708462.0,905496.0,2802966.0,1740000.0,1271070.0,468930.0,0.21543413205084763,20484324.0,9917304.0,10576416.0,0.09353057983771561,11058396.0,4690692.0,6373620.0,8703654.0,3213084.0,5490570.0,1391652.0,1112730.0,278922.0,0.4248965483930946,54530382.0,16285182.0,38275998.0,0.124700662992331,10224066.0,5198076.0,5030340.0,7429278.0,3473388.0,3955890.0,1978902.0,1329360.0,649542.0,0.13623437965085242,389760.0,201318.0,188442.0,0.0175347544022242,756900.0,431694.0,325380.0,291102.0,174696.0,116406.0,457446.0,252474.0,204972.0,0.0026320667284522,3012984.0,1871370.0,3012984.0,0.0,14093478.0,2402244.0,663810.0,362268.0,6078516.0,8014962.0,2099310.0,302934.0,1965504.0,1047480.0,262044.0,401766.0,1401048.0,470322.0,183222.0,179046.0,3353850.0,3618156.0,6289230.0,7301910.0,6006306.0,6483066.0,103878.0,151554.0,0.746875
POC_c-baseline_p-baseline_b-high,baseline,baseline,high,True,343,279618.0,191748.0,87870.0,0.062157781834844605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16820058.0,7011156.0,9813948.0,0.019329536835893203,4582290.0,1464210.0,3119994.0,3313482.0,637710.0,2675772.0,1143354.0,802662.0,340692.0,0.19716110231603662,20422380.0,9632118.0,10800180.0,0.1031598636518678,8996496.0,3144876.0,5855448.0,7310088.0,2181438.0,5128650.0,870696.0,710268.0,160428.0,0.35804923892541224,6039714.0,1847358.0,4196532.0,0.011186639594065401,2254170.0,1316484.0,938208.0,903408.0,418644.0,484764.0,1245840.0,847206.0,398634.0,0.149428025396126,501816.0,263088.0,238728.0,0.029823644676681804,775344.0,441264.0,334602.0,338952.0,212976.0,125976.0,423864.0,220458.0,203406.0,0.005852384062704,1915044.0,1206342.0,1915044.0,0.0,11241444.0,1413750.0,519216.0,299454.0,3994692.0,7246752.0,1325358.0,88392.0,1372686.0,542358.0,277008.0,242208.0,958914.0,247428.0,189660.0,109794.0,3029688.0,3235356.0,5736084.0,6412596.0,665550.0,739500.0,121104.0,173826.0,0.6754507628294031
POC_c-baseline_p-baseline_b-low,baseline,baseline,low,True,75,976140.0,648672.0,327468.0,0.11301792123826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8048718.0,3575004.0,4476672.0,0.0102274299194924,2259738.0,923766.0,1336494.0,1436022.0,282054.0,1153968.0,765948.0,632142.0,133806.0,0.1786042413276635,7572480.0,3627726.0,3947364.0,0.0397289222467812,3492528.0,1463166.0,2030928.0,2522304.0,771516.0,1750788.0,691476.0,610044.0,81432.0,0.33420423863853765,4772646.0,1463514.0,3311742.0,0.011879442848898001,1439676.0,942210.0,498510.0,550710.0,258390.0,292320.0,832938.0,654762.0,178176.0,0.11599689074298,736194.0,392718.0,343476.0,0.017640363094682202,965526.0,529830.0,436392.0,587772.0,325554.0,262218.0,360354.0,196098.0,164256.0,0.004073028882556,833112.0,519738.0,833112.0,0.0,5048958.0,1216608.0,318942.0,175392.0,2175348.0,2873610.0,1160058.0,56550.0,574896.0,258216.0,160776.0,158166.0,403680.0,116058.0,107184.0,68208.0,1331274.0,1410444.0,2035626.0,2255040.0,437436.0,471888.0,296148.0,401940.0,0.8002850835201221
POC_c-baseline_p-baseline_b-low,baseline,baseline,low,True,78,553146.0,381930.0,171216.0,0.08170669703256041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25011804.0,11710200.0,13310652.0,0.029290559157642004,7707852.0,3019770.0,4689822.0,5463948.0,1590186.0,3873762.0,2019966.0,1365030.0,654936.0,0.21854366436978784,30466356.0,14880132.0,15603972.0,0.1409954950735412,16913670.0,7111206.0,9810642.0,13900512.0,5393130.0,8507382.0,1482306.0,1118472.0,363834.0,0.4562989923976245,87689562.0,26058066.0,61681782.0,0.1934919697965002,17209644.0,8222022.0,8994582.0,13301604.0,6103050.0,7198554.0,2433042.0,1450812.0,982230.0,0.15169067213624401,161820.0,85260.0,76560.0,0.009532735305931,586728.0,341388.0,245514.0,132240.0,83520.0,48720.0,449616.0,254388.0,195228.0,0.0013120899718836,3734736.0,2152032.0,3734736.0,0.0,20284050.0,2457576.0,503382.0,240642.0,8586552.0,11697498.0,2057028.0,400548.0,2484546.0,1250190.0,165996.0,337386.0,1634382.0,517650.0,99876.0,140766.0,4915500.0,5337798.0,9845790.0,11552730.0,11322180.0,12013830.0,29406.0,49590.0,0.8172043010752681
POC_c-baseline_p-baseline_b-low,baseline,baseline,low,True,236,278226.0,192966.0,85260.0,0.061222480667050605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1725036.0,774648.0,950736.0,0.0014051028969576,1928268.0,1170324.0,758292.0,363660.0,89436.0,274224.0,1550166.0,1078104.0,472062.0,0.21504806879683303,35289288.0,16903926.0,18400500.0,0.1741901000306306,14252688.0,5685624.0,8570892.0,11999562.0,4355742.0,7643820.0,929856.0,840594.0,89262.0,0.3399995414955028,21693972.0,7208994.0,14496462.0,0.0513470531573748,5213388.0,2916240.0,2299758.0,3205950.0,1633686.0,1572264.0,1652826.0,1097766.0,555060.0,0.1476578037717394,87000.0,52548.0,34452.0,0.0078154650785404,556104.0,322596.0,233682.0,94482.0,65598.0,28884.0,456750.0,254388.0,202362.0,0.0,2698392.0,1662570.0,2698392.0,0.0,15196116.0,1746438.0,539052.0,290580.0,6486372.0,8709744.0,1621680.0,124758.0,1800726.0,897666.0,232116.0,306936.0,1255236.0,407334.0,150336.0,140244.0,326772.0,354264.0,9773232.0,10756158.0,2454444.0,2666376.0,30624.0,42456.0,1.066
POC_c-baseline_p-baseline_b-low,baseline,baseline,low,True,263,17226.0,14442.0,2784.0,0.014406736109916201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20920716.0,8832936.0,12095436.0,0.025261654478816002,6651150.0,2545446.0,4107792.0,4624224.0,1183548.0,3440676.0,1823172.0,1304478.0,518694.0,0.22099689256027202,23054826.0,11077188.0,11988426.0,0.10364629508716242,12712962.0,5325270.0,7394652.0,10197096.0,3807120.0,6389976.0,1410444.0,1097766.0,312678.0,0.44245773727152926,59805540.0,18111660.0,41728332.0,0.1331828647394152,11691060.0,5836656.0,5859624.0,8663634.0,4030188.0,4633446.0,2074254.0,1350588.0,723666.0,0.14488943738423282,433782.0,225678.0,208104.0,0.0185109669447018,799878.0,460752.0,339300.0,323292.0,195228.0,128064.0,465972.0,260130.0,205842.0,0.0032375656472042004,3399960.0,2116884.0,3399960.0,0.0,16073598.0,2395284.0,646758.0,356526.0,6794004.0,9279594.0,2066772.0,328512.0,2246514.0,1153446.0,258042.0,388716.0,1590534.0,526350.0,177654.0,178872.0,4211496.0,4519998.0,7342452.0,8554710.0,7172280.0,7674096.0,126846.0,175044.0,0.745286803048535
POC_c-baseline_p-baseline_b-low,baseline,baseline,low,True,343,279618.0,191748.0,87870.0,0.06215898663931381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20034534.0,8305020.0,11734908.0,0.023445849227751,5426712.0,1684842.0,3743784.0,4058724.0,820236.0,3238488.0,1216608.0,832068.0,384540.0,0.20272954711399543,22313412.0,10402590.0,11921262.0,0.10883750489166721,10130106.0,3514104.0,6620178.0,8311806.0,2510994.0,5800812.0,905496.0,728190.0,177306.0,0.37255649261607504,6974094.0,2178132.0,4800834.0,0.012420282187132401,2566674.0,1441938.0,1125780.0,1119168.0,517998.0,601170.0,1322748.0,864606.0,458142.0,0.1601341311758892,566544.0,289362.0,277182.0,0.0309601567602872,832938.0,472758.0,360876.0,388716.0,239772.0,148944.0,430128.0,224286.0,205842.0,0.005930764206401,2170650.0,1369206.0,2170650.0,0.0,12637968.0,1437066.0,524784.0,298758.0,4427604.0,8210364.0,1343280.0,93786.0,1558344.0,612306.0,280836.0,243948.0,1091850.0,277356.0,189834.0,108924.0,3733692.0,3976422.0,6464622.0,7267110.0,840594.0,929508.0,142506.0,200448.0,0.686117936117936
