arm,seed,n_drugs,n_stis_bucket,count
SOC,263000,0,1,680
SOC,263000,3,0,1282
SOC,263000,3,1,1295
SOC,263000,1,1,690
SOC,263000,1,2,1019
SOC,263000,3,2,2422
SOC,263000,0,0,815
SOC,263000,2,2,800
SOC,263000,1,0,776
SOC,263000,0,2,1081
SOC,263000,2,0,282
SOC,263000,2,1,374
SOC,263001,2,2,848
SOC,263001,3,0,1365
SOC,263001,2,1,421
SOC,263001,0,1,828
SOC,263001,1,2,1092
SOC,263001,3,2,2366
SOC,263001,3,1,1678
SOC,263001,0,2,1045
SOC,263001,1,1,778
SOC,263001,0,0,834
SOC,263001,1,0,841
SOC,263001,2,0,346
SOC,263002,0,2,999
SOC,263002,2,2,743
SOC,263002,3,1,1511
SOC,263002,3,2,2223
SOC,263002,1,1,784
SOC,263002,0,1,767
SOC,263002,1,2,879
SOC,263002,1,0,844
SOC,263002,0,0,760
SOC,263002,2,1,421
SOC,263002,3,0,1303
SOC,263002,2,0,344
SOC,263003,1,0,772
SOC,263003,0,0,762
SOC,263003,3,0,1201
SOC,263003,2,2,822
SOC,263003,1,2,1038
SOC,263003,0,2,1059
SOC,263003,1,1,705
SOC,263003,3,2,2489
SOC,263003,0,1,739
SOC,263003,3,1,1320
SOC,263003,2,1,392
SOC,263003,2,0,286
SOC,263004,1,1,713
SOC,263004,3,1,1419
SOC,263004,0,1,727
SOC,263004,2,0,302
SOC,263004,3,2,1997
SOC,263004,3,0,1211
SOC,263004,2,1,418
SOC,263004,1,0,758
SOC,263004,2,2,692
SOC,263004,0,0,743
SOC,263004,1,2,842
SOC,263004,0,2,856
