metric,value
vds_prev,0.16144642094434852
marg_ng,0.10877357717215527
marg_ct,0.06989499727991534
marg_tv,0.34472042746316706
marg_bv,0.9010932504639049
ng_only,0.008272038274944667
ct_only,0.0038602845283075113
tv_only,0.0411366227726978
bv_only,0.6191136250158361
ng_ct,0.0020419265651665216
ng_tv,0.021239017192425495
ng_bv,0.014002846773532458
ct_tv,0.011923658774695015
ct_bv,0.006185397989373039
tv_bv,0.19013764373598038
ng_ct_tv,0.010433201427858139
ng_ct_bv,0.001803453389672621
ng_tv_bv,0.03620320895466774
ct_tv_bv,0.018869190010954863
ng_ct_tv_bv,0.014777884593887635
